Timestamp,Pitch,Roll
1729130304.2917883,-1.87,0.99
1729130304.3937545,-1.87,1.02
1729130304.479762,-1.87,1.04
1729130304.5801196,-1.87,1.03
1729130304.6838777,-1.87,1.0
1729130304.7821355,-1.87,0.99
1729130304.8800619,-1.87,1.0
1729130304.9807405,-1.87,0.99
1729130305.0804799,-1.87,0.96
1729130305.1883066,-1.86,0.92
1729130305.2802188,-1.86,0.92
1729130305.3803766,-1.86,0.92
1729130305.4877005,-1.86,0.91
1729130305.5815125,-1.86,0.89
1729130305.679287,-1.86,0.88
1729130305.7805765,-1.86,0.9
1729130305.880227,-1.85,0.92
1729130305.986857,-1.86,0.93
1729130306.0835876,-1.86,0.93
1729130306.1870155,-1.86,0.94
1729130306.2796938,-1.86,0.97
1729130306.385288,-1.86,1.0
1729130306.4864373,-1.86,1.0
1729130306.580702,-1.86,0.99
1729130306.6796057,-1.86,1.0
1729130306.7920406,-1.86,1.02
1729130306.8836398,-1.86,1.02
1729130306.9804204,-1.86,1.0
1729130307.0802023,-1.86,0.97
1729130307.180704,-1.86,0.96
1729130307.2875464,-1.85,0.97
1729130307.379647,-1.85,0.95
1729130307.4795694,-1.85,0.92
1729130307.5803216,-1.85,0.9
1729130307.687737,-1.85,0.9
1729130307.7869515,-1.85,0.91
1729130307.8800206,-1.85,0.91
1729130307.9810734,-1.85,0.89
1729130308.0798032,-1.85,0.9
1729130308.1807647,-1.85,0.92
1729130308.2795317,-1.85,0.95
1729130308.3803504,-1.86,0.96
1729130308.4941514,-1.86,0.96
1729130308.588585,-1.86,0.97
1729130308.6797352,-1.86,1.0
1729130308.7808378,-1.86,1.02
1729130308.8795757,-1.87,1.01
1729130308.9945607,-1.87,0.99
1729130309.0827916,-1.86,0.99
1729130309.1805792,-1.86,1.0
1729130309.2801156,-1.86,1.0
1729130309.3892329,-1.86,0.97
1729130309.4801412,-1.86,0.94
1729130309.5805209,-1.86,0.94
1729130309.6795893,-1.86,0.94
1729130309.780961,-1.85,0.93
1729130309.8932004,-1.85,0.9
1729130309.9817123,-1.86,0.89
1729130310.079783,-1.85,0.9
1729130310.1809897,-1.85,0.91
1729130310.288463,-1.85,0.91
1729130310.3821638,-1.86,0.91
1729130310.4798384,-1.86,0.92
1729130310.5802007,-1.86,0.95
1729130310.6889932,-1.86,0.97
1729130310.7872796,-1.87,0.98
1729130310.8802485,-1.87,0.98
1729130310.9822755,-1.87,0.99
1729130311.0792997,-1.87,1.01
1729130311.1839793,-1.87,1.01
1729130311.2798295,-1.87,1.0
1729130311.379999,-1.87,0.98
1729130311.4795918,-1.87,0.98
1729130311.5880315,-1.86,0.98
1729130311.9115906,-1.86,0.97
1729130312.104331,-1.86,0.94
1729130312.1073396,-1.86,0.92
1729130312.1902432,-1.86,0.92
1729130312.192241,-1.86,0.92
1729130312.1942573,-1.86,0.91
1729130312.2795904,-1.86,0.89
1729130312.3893166,-1.86,0.89
1729130312.486706,-1.86,0.91
1729130312.5828617,-1.86,0.93
1729130312.6809757,-1.86,0.93
1729130312.788668,-1.86,0.93
1729130312.890261,-1.86,0.95
1729130312.9805527,-1.86,0.97
1729130313.079163,-1.87,0.99
1729130313.1803374,-1.87,0.99
1729130313.2904198,-1.84,1.0
1729130313.3858006,-1.8,1.03
1729130313.4788835,-1.77,1.03
1729130313.579887,-1.75,1.03
1729130313.6825166,-1.72,1.03
1729130313.7920816,-1.68,1.04
1729130313.880777,-1.62,1.05
1729130313.9803946,-1.57,1.04
1729130314.083204,-1.52,1.03
1729130314.1898222,-1.49,1.03
1729130314.2866724,-1.46,1.05
1729130314.3798766,-1.43,1.06
1729130314.4799447,-1.39,1.06
1729130314.5890033,-1.34,1.06
1729130314.679541,-1.28,1.09
1729130314.7799494,-1.24,1.12
1729130314.8797824,-1.2,1.15
1729130314.9922776,-1.18,1.16
1729130315.088913,-1.15,1.18
1729130315.1798441,-1.1,1.22
1729130315.2801259,-1.04,1.25
1729130315.3825858,-0.98,1.27
1729130315.4810648,-0.93,1.28
1729130315.5795887,-0.9,1.3
1729130315.6799223,-0.87,1.33
1729130315.779825,-0.83,1.34
1729130315.8885145,-0.79,1.34
1729130315.981281,-0.73,1.34
1729130316.0800254,-0.67,1.34
1729130316.180294,-0.63,1.36
1729130316.2926056,-0.59,1.36
1729130316.3915553,-0.57,1.36
1729130316.4795465,-0.53,1.35
1729130316.579385,-0.48,1.37
1729130316.688579,-0.43,1.38
1729130316.7864277,-0.37,1.4
1729130316.8792095,-0.33,1.4
1729130316.979566,-0.3,1.42
1729130317.0891714,-0.27,1.45
1729130317.1913962,-0.24,1.48
1729130317.2885354,-0.2,1.51
1729130317.3799818,-0.16,1.52
1729130317.4797912,-0.12,1.55
1729130317.5895493,-0.1,1.58
