Timestamp,Pitch,Roll
1729129834.188537,-2.09,0.88
1729129834.2857242,-2.09,0.88
1729129834.395364,-2.09,0.88
1729129834.488719,-2.09,0.89
1729129834.586378,-2.09,0.88
1729129834.6856873,-2.09,0.88
1729129834.785531,-2.09,0.88
1729129834.8949685,-2.1,0.88
1729129834.9869907,-2.1,0.88
1729129835.0876985,-2.1,0.88
1729129835.186501,-2.1,0.88
1729129835.2898839,-2.09,0.88
1729129835.398144,-2.09,0.88
1729129835.4864395,-2.1,0.88
1729129835.5862732,-2.1,0.88
1729129835.6890473,-2.1,0.88
1729129835.795578,-2.1,0.88
1729129835.887243,-2.1,0.88
1729129835.9860213,-2.1,0.88
1729129836.0931766,-2.1,0.88
1729129836.1999378,-2.1,0.88
1729129836.287058,-2.1,0.88
1729129836.386563,-2.1,0.87
1729129836.486133,-2.1,0.88
1729129836.595123,-2.1,0.87
1729129836.6870337,-2.1,0.87
1729129836.7858222,-2.1,0.87
1729129837.1341305,-2.1,0.87
1729129837.1624873,-2.1,0.87
1729129837.22032,-2.1,0.87
1729129837.2223203,-2.1,0.87
1729129837.2864673,-2.1,0.87
1729129837.3864143,-2.1,0.87
1729129837.5001793,-2.1,0.87
1729129837.5943334,-2.1,0.87
1729129837.6868646,-2.1,0.87
1729129837.7859473,-2.09,0.87
1729129837.9001591,-2.09,0.87
1729129837.9917696,-2.09,0.87
1729129838.086785,-2.09,0.87
1729129838.1856875,-2.09,0.87
1729129838.297066,-2.1,0.87
1729129838.3935046,-2.1,0.87
1729129838.4846284,-2.1,0.87
1729129838.5861566,-2.09,0.87
1729129838.6858776,-2.1,0.87
1729129838.797524,-2.11,0.87
1729129838.8880465,-2.12,0.87
1729129838.986116,-2.13,0.87
1729129839.087296,-2.14,0.86
1729129839.2000651,-2.16,0.86
1729129839.287251,-2.17,0.85
1729129839.3861763,-2.2,0.84
1729129839.4855125,-2.22,0.84
1729129839.5960119,-2.25,0.83
1729129839.6864314,-2.27,0.82
1729129839.7895126,-2.3,0.81
1729129839.8863983,-2.33,0.79
1729129839.9858618,-2.37,0.78
1729129840.097852,-2.41,0.77
1729129840.1855063,-2.44,0.76
1729129840.2864933,-2.48,0.74
1729129840.3858151,-2.52,0.73
1729129840.5000894,-2.56,0.72
1729129840.5923219,-2.61,0.7
1729129840.6857717,-2.65,0.69
1729129840.7851624,-2.69,0.68
1729129840.9014912,-2.74,0.66
1729129840.988178,-2.78,0.65
1729129841.0864844,-2.81,0.63
1729129841.1862984,-2.85,0.62
1729129841.2857509,-2.9,0.61
1729129841.3873315,-2.94,0.59
1729129841.4868393,-2.99,0.57
1729129841.5860488,-3.03,0.56
1729129841.6857011,-3.07,0.55
1729129841.796419,-3.11,0.53
1729129841.8956974,-3.15,0.51
1729129841.986059,-3.19,0.5
1729129842.0857127,-3.24,0.49
1729129842.1986907,-3.28,0.48
1729129842.288393,-3.32,0.46
1729129842.3860455,-3.36,0.44
1729129842.4858432,-3.4,0.43
1729129842.5959296,-3.45,0.42
1729129842.6948676,-3.49,0.4
1729129842.7856717,-3.53,0.39
1729129842.8861742,-3.58,0.37
1729129842.9860754,-3.62,0.36
1729129843.0856812,-3.66,0.35
1729129843.1858993,-3.7,0.34
1729129843.2862103,-3.75,0.32
1729129843.385996,-3.79,0.3
1729129843.4975321,-3.83,0.29
1729129843.5900002,-3.88,0.28
1729129843.685634,-3.92,0.26
1729129843.7857392,-3.96,0.25
1729129843.888679,-4.0,0.23
1729129843.9957647,-4.04,0.22
1729129844.0861251,-4.09,0.2
1729129844.1864092,-4.13,0.19
1729129844.2856784,-4.17,0.17
1729129844.3981345,-4.21,0.16
1729129844.488599,-4.26,0.15
1729129844.5860946,-4.3,0.14
1729129844.6855493,-4.34,0.12
1729129844.7966268,-4.38,0.11
1729129844.900786,-4.43,0.09
1729129844.985837,-4.47,0.08
1729129845.0855753,-4.52,0.07
1729129845.1958284,-4.56,0.05
1729129845.289252,-4.6,0.04
1729129845.3865554,-4.65,0.02
1729129845.4860582,-4.69,0.01
1729129845.5861948,-4.74,-0.0
1729129845.6891375,-4.78,-0.02
1729129845.7859957,-4.82,-0.04
1729129845.886217,-4.86,-0.05
1729129845.9862895,-4.91,-0.07
1729129846.0893023,-4.95,-0.08
1729129846.186294,-5.0,-0.09
1729129846.2872198,-5.04,-0.11
1729129846.386062,-5.08,-0.12
1729129846.4974985,-5.13,-0.14
1729129846.587612,-5.17,-0.15
1729129846.6862247,-5.21,-0.17
1729129846.7859626,-5.26,-0.18
1729129846.8971467,-5.3,-0.2
1729129846.9967256,-5.35,-0.21
1729129847.0856514,-5.39,-0.23
1729129847.1862545,-5.43,-0.24
1729129847.2862966,-5.48,-0.25
1729129847.3966036,-5.52,-0.27
1729129847.4885619,-5.56,-0.28
1729129847.5898893,-5.61,-0.29
1729129847.6860957,-5.66,-0.31
1729129847.7963395,-5.7,-0.32
1729129847.8882997,-5.74,-0.34
1729129847.985881,-5.79,-0.35
1729129848.086682,-5.83,-0.37
1729129848.1976676,-5.87,-0.38
1729129848.288533,-5.92,-0.4
1729129848.3861673,-5.98,-0.42
1729129848.4865084,-6.04,-0.43
1729129848.586528,-6.09,-0.45
1729129848.6958282,-6.13,-0.46
1729129848.7862103,-6.15,-0.48
1729129848.8865597,-6.19,-0.5
1729129848.9871306,-6.24,-0.51
1729129849.0923636,-6.3,-0.52
1729129849.1891785,-6.36,-0.53
1729129849.2868109,-6.4,-0.55
1729129849.385705,-6.43,-0.56
1729129849.4854953,-6.46,-0.57
1729129849.5931373,-6.49,-0.58
1729129849.686715,-6.52,-0.59
1729129849.7867894,-6.57,-0.61
1729129849.88629,-6.61,-0.62
1729129849.9967911,-6.64,-0.63
1729129850.0862586,-6.66,-0.63
1729129850.1863668,-6.67,-0.64
1729129850.2860334,-6.68,-0.65
1729129850.3953147,-6.7,-0.66
1729129850.4885912,-6.73,-0.66
1729129850.5864372,-6.76,-0.67
1729129850.6859727,-6.77,-0.67
1729129850.7982683,-6.78,-0.68
1729129850.8885438,-6.77,-0.69
1729129850.9860132,-6.77,-0.68
1729129851.0858235,-6.78,-0.69
1729129851.2011173,-6.8,-0.69
1729129851.3018563,-6.8,-0.69
1729129851.3980958,-6.8,-0.69
1729129851.485958,-6.8,-0.69
1729129851.5860121,-6.79,-0.69
1729129851.6959891,-6.79,-0.69
1729129851.7861898,-6.79,-0.69
1729129851.8862052,-6.8,-0.69
1729129851.985176,-6.8,-0.68
1729129852.097254,-6.79,-0.68
1729129852.1908863,-6.78,-0.68
1729129852.2872214,-6.78,-0.68
1729129852.3864784,-6.78,-0.68
1729129852.4904544,-6.78,-0.67
1729129852.5883162,-6.78,-0.67
1729129852.6861427,-6.77,-0.66
1729129852.7863872,-6.76,-0.66
1729129852.8864226,-6.73,-0.66
1729129852.9885643,-6.72,-0.65
1729129853.0867817,-6.71,-0.64
1729129853.186159,-6.69,-0.64
1729129853.2881916,-6.67,-0.63
1729129853.3961368,-6.65,-0.62
1729129853.4860666,-6.61,-0.62
1729129853.5854776,-6.57,-0.6
1729129853.6865435,-6.54,-0.59
1729129853.8017564,-6.51,-0.58
1729129853.893708,-6.47,-0.57
1729129853.9860406,-6.44,-0.55
1729129854.0857718,-6.39,-0.54
1729129854.1898992,-6.34,-0.52
1729129854.2987607,-6.3,-0.5
1729129854.3897033,-6.26,-0.49
1729129854.4863389,-6.22,-0.47
1729129854.5862534,-6.19,-0.46
1729129854.6901696,-6.15,-0.44
1729129854.7861788,-6.11,-0.43
1729129854.8868186,-6.06,-0.42
1729129854.9856186,-6.02,-0.41
1729129855.0905354,-5.98,-0.4
1729129855.1875286,-5.95,-0.38
1729129855.2858312,-5.91,-0.37
1729129855.3856766,-5.87,-0.36
1729129855.4978194,-5.82,-0.35
1729129855.5925233,-5.77,-0.33
1729129855.688707,-5.73,-0.32
1729129855.7861187,-5.69,-0.31
1729129855.8860836,-5.65,-0.3
1729129855.9987862,-5.61,-0.28
1729129856.0874422,-5.56,-0.27
1729129856.186674,-5.52,-0.25
1729129856.2857926,-5.47,-0.24
1729129856.3972597,-5.43,-0.22
1729129856.4932215,-5.39,-0.21
1729129856.5858026,-5.35,-0.19
1729129856.6864133,-5.31,-0.17
1729129856.7867692,-5.27,-0.16
1729129856.8894818,-5.22,-0.14
1729129856.9864702,-5.18,-0.13
1729129857.0866754,-5.14,-0.12
1729129857.1865642,-5.1,-0.1
1729129857.2938292,-5.07,-0.09
1729129857.386504,-5.03,-0.08
1729129857.4857075,-4.98,-0.07
1729129857.5859146,-4.93,-0.05
1729129857.6946151,-4.89,-0.04
1729129857.790021,-4.84,-0.03
1729129857.8868086,-4.8,-0.02
1729129857.9861794,-4.76,-0.0
1729129858.1008484,-4.72,0.01
1729129858.1923907,-4.67,0.03
1729129858.2861726,-4.62,0.04
1729129858.3859475,-4.58,0.05
1729129858.4982128,-4.53,0.07
1729129858.594611,-4.49,0.08
1729129858.6882975,-4.45,0.1
1729129858.789477,-4.4,0.12
1729129858.8862507,-4.36,0.13
