Timestamp,Pitch,Roll
1729610043.1886938,10.26,1.59
1729610043.2974162,10.22,1.54
1729610043.3861353,10.19,1.49
1729610043.4860528,10.18,1.44
1729610043.5862966,10.17,1.41
1729610043.689728,10.17,1.4
1729610043.7907627,10.18,1.4
1729610043.8868628,10.2,1.42
1729610043.9852815,10.23,1.46
1729610044.0856001,10.28,1.5
1729610044.187628,10.35,1.54
1729610044.288317,10.42,1.58
1729610044.3858368,10.48,1.6
1729610044.4887278,10.51,1.59
1729610044.5943654,10.49,1.57
1729610044.6862853,10.44,1.54
1729610044.7861223,10.34,1.49
1729610044.8855944,10.24,1.45
1729610044.9854798,10.12,1.43
1729610045.0865536,10.03,1.42
1729610045.1852837,9.96,1.43
1729610045.2863443,9.92,1.45
1729610045.3943987,9.93,1.47
1729610045.4866474,9.99,1.5
1729610045.5883856,10.1,1.52
1729610045.6856935,10.22,1.53
1729610045.7860322,10.35,1.54
1729610045.8940036,10.46,1.55
1729610045.989759,10.53,1.57
1729610046.086031,10.55,1.58
1729610046.1850278,10.5,1.59
1729610046.299947,10.42,1.6
1729610046.3858833,10.3,1.59
1729610046.4858317,10.18,1.58
1729610046.5850194,10.07,1.55
1729610046.7022715,9.98,1.52
1729610046.7753084,9.92,1.49
1729610046.8899014,9.9,1.46
1729610046.9854934,9.92,1.43
1729610047.0861864,10.0,1.42
1729610047.1941152,10.12,1.42
1729610047.2855382,10.27,1.43
1729610047.386019,10.43,1.45
1729610047.4856942,10.57,1.48
1729610047.5977998,10.67,1.51
1729610047.6930304,10.69,1.53
1729610047.785261,10.65,1.55
1729610047.8859668,10.55,1.56
1729610047.9961395,10.4,1.56
1729610048.0886338,10.24,1.55
1729610048.184723,10.08,1.54
1729610048.2890112,9.96,1.54
1729610048.3856397,9.88,1.53
1729610048.495666,9.84,1.51
1729610048.5849526,9.85,1.48
1729610048.6851077,9.92,1.45
1729610048.7858303,10.03,1.43
1729610048.8903599,10.17,1.41
1729610048.9860823,10.3,1.41
1729610049.0855823,10.41,1.42
1729610049.1855793,10.48,1.43
