Timestamp,Pitch,Roll
1729610059.1935585,10.6,1.61
1729610059.2856371,10.56,1.65
1729610059.3848522,10.47,1.7
1729610059.484804,10.35,1.75
1729610059.601937,10.22,1.77
1729610059.6941175,10.09,1.77
1729610059.7852585,9.99,1.74
1729610059.8852465,9.94,1.68
1729610059.985385,9.94,1.6
1729610060.094429,10.0,1.53
1729610060.1865673,10.09,1.47
1729610060.2854047,10.21,1.44
1729610060.385621,10.34,1.43
1729610060.4896214,10.45,1.45
1729610060.5968902,10.54,1.49
1729610060.6862543,10.59,1.55
1729610060.7854133,10.6,1.62
1729610060.9012184,10.57,1.7
1729610060.9870114,10.49,1.78
1729610061.0849082,10.38,1.83
1729610061.1852446,10.25,1.85
1729610061.2979608,10.12,1.84
1729610061.390736,10.0,1.79
1729610061.4902737,9.91,1.72
1729610061.5857847,9.87,1.64
1729610061.6857696,9.87,1.56
1729610061.790133,9.92,1.5
1729610061.8899088,10.01,1.45
1729610061.9855309,10.13,1.43
1729610062.0854564,10.24,1.44
1729610062.1905334,10.35,1.48
1729610062.2885125,10.44,1.55
1729610062.3869648,10.49,1.64
1729610062.4856043,10.5,1.75
1729610062.595316,10.47,1.85
1729610062.6890442,10.4,1.94
1729610062.787602,10.32,2.0
1729610062.8846,10.22,2.03
1729610062.9852674,10.14,2.03
1729610063.0977068,10.08,1.99
1729610063.192806,10.05,1.92
1729610063.286292,10.07,1.82
1729610063.3855073,10.13,1.7
1729610063.4977791,10.24,1.57
1729610063.5925097,10.38,1.44
1729610063.684953,10.55,1.33
1729610063.785263,10.75,1.25
1729610063.8937187,10.94,1.21
1729610063.9919815,11.12,1.24
1729610064.0879383,11.26,1.32
1729610064.185863,11.37,1.45
1729610064.285628,11.44,1.6
1729610064.3970997,11.46,1.76
1729610064.4897342,11.45,1.88
1729610064.586026,11.43,1.96
1729610064.6854327,11.4,2.0
1729610064.7991204,11.39,1.99
1729610064.8850987,11.41,1.93
1729610064.9860742,11.46,1.84
1729610065.0853481,11.56,1.73
1729610065.1847606,11.69,1.59
1729610065.2970908,11.85,1.44
1729610065.3892777,12.04,1.31
1729610065.482674,12.23,1.21
1729610065.5941603,12.45,1.14
1729610065.6911495,12.63,1.13
1729610065.7852397,12.79,1.19
1729610065.8857875,12.91,1.31
1729610065.9852607,12.97,1.47
1729610066.0943863,12.99,1.65
1729610066.1862955,12.97,1.84
1729610066.2852917,12.92,2.0
1729610066.39007,12.86,2.12
1729610066.485099,12.82,2.17
1729610066.5940998,12.82,2.17
1729610066.6849864,12.85,2.1
1729610066.785198,12.95,1.97
1729610066.8884614,13.1,1.8
1729610066.9949057,13.31,1.62
1729610067.0903752,13.54,1.45
1729610067.1855354,13.77,1.32
1729610067.2851713,13.99,1.23
1729610067.3908913,14.17,1.21
1729610067.485364,14.29,1.24
1729610067.5857775,14.36,1.33
1729610067.6857202,14.38,1.46
1729610067.7953448,14.35,1.62
1729610067.89284,14.29,1.79
1729610067.9864385,14.23,1.94
1729610068.0856535,14.19,2.07
1729610068.1937265,14.18,2.15
1729610068.2970061,14.21,2.18
1729610068.3862119,14.3,2.14
1729610068.4849112,14.44,2.04
1729610068.5880613,14.6,1.9
1729610068.7003765,14.79,1.73
