Timestamp,Pitch,Roll
1729608703.5145655,-3.09,-1.65
1729608703.6083727,-2.88,-1.48
1729608703.709439,-2.34,-0.97
1729608703.8099027,-2.21,-0.8
1729608703.9159534,-2.56,-0.83
1729608704.0081718,-2.4,-0.85
1729608704.1101396,-2.35,-0.64
1729608704.2089043,-2.73,-0.35
1729608704.3235037,-3.0,0.02
1729608704.416339,-3.09,0.18
1729608704.511434,-3.21,0.12
1729608704.6085546,-3.59,-0.12
1729608704.7182775,-4.3,-0.15
1729608704.8148127,-5.05,0.26
1729608704.9104173,-5.11,0.71
1729608705.0085568,-4.26,0.83
1729608705.1093698,-3.1,0.66
1729608705.222788,-2.34,0.46
1729608705.3092728,-2.33,0.23
1729608705.4086747,-2.67,-0.11
1729608705.5084662,-2.59,-0.46
1729608705.618813,-2.19,-0.77
1729608705.7152038,-1.64,-0.91
1729608705.8092265,-1.22,-1.1
1729608705.9088275,-1.05,-1.37
1729608706.0085063,-1.15,-1.69
1729608706.1116583,-1.3,-2.02
1729608706.2091408,-1.3,-2.15
1729608706.3086011,-0.99,-1.98
1729608706.409141,-0.3,-1.68
1729608706.5161176,0.69,-1.54
1729608706.6116548,1.97,-1.73
1729608706.7088878,3.52,-2.21
1729608706.8102884,5.37,-2.77
1729608706.9142363,7.17,-2.95
1729608707.0096824,8.27,-2.82
1729608707.1111817,8.24,-2.95
1729608707.2093897,7.2,-3.11
1729608707.3194907,5.85,-3.03
1729608707.415739,5.03,-2.62
1729608707.5094008,4.72,-2.42
1729608707.6094646,5.0,-1.98
1729608707.7091508,5.62,-1.55
1729608707.8128357,6.26,-1.42
1729608707.911468,6.62,-0.98
1729608708.0089047,6.51,-0.38
1729608708.112367,6.05,-0.12
1729608708.2153947,5.42,-0.16
1729608708.3096356,4.82,-0.37
1729608708.4097812,4.35,-0.65
1729608708.509099,4.11,-0.86
1729608708.6196933,4.15,-1.04
1729608708.7179065,4.38,-1.21
1729608708.8106253,4.74,-1.43
1729608708.9094598,5.31,-1.65
1729608709.0114057,6.19,-1.84
1729608709.1104407,7.26,-1.98
1729608709.2129035,8.32,-2.07
1729608709.308934,9.24,-2.08
1729608709.4090414,10.06,-1.96
1729608709.520462,10.85,-1.55
1729608709.6136317,11.57,-0.82
1729608709.7087655,12.13,0.11
1729608709.8090968,12.47,1.1
1729608709.916077,12.59,2.01
1729608710.0113971,12.51,2.74
1729608710.1101005,12.26,3.23
1729608710.2085667,11.9,3.47
1729608710.3119407,11.48,3.45
1729608710.4208744,11.06,3.22
1729608710.5115256,10.72,2.77
1729608710.608727,10.52,2.11
1729608710.7086706,10.54,1.32
1729608710.8187606,10.8,0.48
1729608710.9089365,11.28,-0.26
1729608711.0087657,11.9,-0.85
1729608711.1115892,12.53,-1.24
1729608711.2214608,13.1,-1.43
1729608711.3131485,13.59,-1.4
1729608711.4111273,14.0,-1.21
1729608711.5090582,14.28,-0.92
1729608711.6087527,14.39,-0.53
1729608711.712562,14.32,-0.09
1729608711.808869,14.08,0.34
1729608711.9093149,13.75,0.67
1729608712.0199835,13.4,0.87
1729608712.1136482,13.11,0.93
1729608712.2205164,12.92,0.84
1729608712.3088791,12.83,0.62
1729608712.4095333,12.85,0.28
1729608712.5115356,12.97,-0.16
1729608712.608982,13.2,-0.66
1729608712.7089512,13.52,-1.17
