Timestamp,Pitch,Roll
1729617330.831535,6.91,2.23
1729617330.9347515,6.76,2.15
1729617331.0318246,6.49,2.12
1729617331.1363575,6.11,2.14
1729617331.2363956,5.68,2.22
1729617331.3352597,5.26,2.34
1729617331.4317327,4.92,2.48
1729617331.5316026,4.67,2.63
1729617331.6409554,4.59,2.77
1729617331.7323403,4.68,2.89
1729617331.8316855,4.94,2.97
1729617331.9351923,5.34,2.99
1729617332.0403926,5.8,2.92
1729617332.1372204,6.29,2.79
1729617332.2318883,6.7,2.62
1729617332.3319032,6.98,2.45
1729617332.4395955,7.08,2.31
1729617332.5321088,7.0,2.22
1729617332.6318789,6.74,2.2
1729617332.7317183,6.35,2.23
1729617332.8321586,5.89,2.32
1729617332.9402363,5.41,2.43
1729617333.034108,5.0,2.54
1729617333.1319437,4.72,2.63
1729617333.2322419,4.61,2.69
1729617333.3435054,4.67,2.71
1729617333.436242,4.91,2.67
1729617333.5320287,5.29,2.6
1729617333.6318223,5.74,2.51
1729617333.736936,6.21,2.42
1729617333.837384,6.63,2.37
1729617333.9322627,6.94,2.36
1729617334.031867,7.1,2.41
1729617334.1365018,7.1,2.48
1729617334.2416534,6.95,2.55
1729617334.3315234,6.68,2.59
1729617334.431394,6.34,2.61
1729617334.5313973,5.96,2.63
1729617334.6411955,5.62,2.65
1729617334.8169687,5.35,2.69
1729617334.83172,5.17,2.75
1729617334.9350517,5.1,2.79
1729617335.0417302,5.11,2.81
1729617335.1310349,5.22,2.8
1729617335.231988,5.39,2.76
1729617335.331426,5.62,2.69
1729617335.4412196,5.88,2.61
1729617335.5365307,6.14,2.53
1729617335.6320736,6.33,2.47
1729617335.7316484,6.45,2.4
1729617335.832314,6.47,2.33
1729617335.9419148,6.41,2.28
1729617336.0352786,6.27,2.27
1729617336.1319046,6.09,2.31
1729617336.2322009,5.89,2.36
1729617336.3362746,5.69,2.41
1729617336.4373393,5.53,2.45
1729617336.5324898,5.43,2.47
1729617336.6316636,5.4,2.48
1729617336.7464516,5.45,2.48
1729617336.831064,5.57,2.48
1729617336.9326668,5.75,2.47
1729617337.0318995,5.99,2.46
1729617337.1393151,6.24,2.42
1729617337.2354753,6.48,2.36
1729617337.3329632,6.67,2.28
1729617337.431297,6.8,2.2
