Timestamp,Pitch,Roll
1729608637.5002484,14.09,1.2
1729608637.6193988,16.36,1.55
1729608637.7139416,18.16,2.01
1729608637.8010385,18.87,2.93
1729608637.9027045,17.59,3.85
1729608638.0000134,14.51,3.16
1729608638.114815,11.68,1.06
1729608638.2062528,10.81,-0.94
1729608638.3006825,12.24,-1.44
1729608638.400016,14.42,-0.92
1729608638.5009537,15.15,0.53
1729608638.6152122,13.06,1.74
1729608638.7119484,9.4,2.33
1729608638.815655,6.13,2.37
1729608638.9000034,4.84,2.22
1729608639.0068521,4.85,1.82
1729608639.1030524,4.56,1.48
1729608639.200063,3.52,0.98
1729608639.3004415,1.57,0.6
1729608639.4149485,-0.72,0.43
1729608639.502485,-1.9,-0.24
1729608639.600193,-1.03,-0.57
1729608639.7000966,0.79,-0.43
1729608639.799798,1.63,0.12
1729608639.9068787,1.2,0.28
1729608640.0020363,0.06,-0.39
1729608640.1008797,-0.99,-1.09
1729608640.2012084,-1.26,-1.26
1729608640.3103611,-0.9,-1.0
1729608640.4000888,-0.49,-1.22
1729608640.5003226,-0.51,-1.57
1729608640.6002734,-0.96,-1.4
1729608640.7149434,-1.73,-1.12
1729608640.805241,-2.92,-1.17
1729608640.8999383,-4.4,-1.28
1729608641.0001478,-5.49,-1.39
1729608641.100098,-5.65,-1.49
1729608641.2082038,-4.91,-1.45
1729608641.2999692,-3.93,-1.36
1729608641.4000754,-3.31,-1.73
1729608641.5012188,-3.63,-2.1
1729608641.601867,-4.59,-2.28
1729608641.7000668,-5.59,-2.43
1729608641.8000572,-6.39,-2.66
1729608641.9014866,-6.89,-2.72
1729608642.000781,-7.2,-2.18
1729608642.1052594,-7.48,-1.64
1729608642.1996214,-7.39,-1.55
1729608642.2998545,-7.13,-1.64
1729608642.4159727,-7.09,-1.55
1729608642.5035784,-7.15,-1.19
1729608642.604021,-7.16,-0.42
1729608642.6998005,-6.51,-0.04
1729608642.8000193,-5.48,-0.48
1729608642.9024048,-4.71,-0.76
1729608643.0005796,-5.21,-1.24
1729608643.1000829,-6.64,-1.38
1729608643.2002618,-8.26,-0.66
1729608643.313615,-9.17,0.83
1729608643.4093823,-8.99,0.7
1729608643.5024068,-8.09,-0.48
1729608643.6001763,-7.06,-1.34
1729608643.7178855,-6.21,-0.85
1729608643.8080719,-5.81,-0.52
1729608643.9027123,-5.7,-0.9
1729608644.0080612,-5.68,-1.03
1729608644.13291,-5.5,-0.75
1729608644.2274456,-4.93,-0.66
1729608644.3184035,-4.42,-0.68
1729608644.403599,-4.28,-0.5
1729608644.5030227,-4.23,-0.27
1729608644.6129897,-3.92,-0.32
1729608644.7052314,-3.26,-0.48
1729608644.8006365,-2.52,-0.59
1729608644.9003253,-1.9,-0.69
1729608645.0038576,-1.6,-0.54
1729608645.105359,-1.46,-0.23
1729608645.1999373,-1.21,0.03
1729608645.2999597,-1.02,0.11
1729608645.4117806,-1.0,-0.06
1729608645.503848,-1.09,-0.58
1729608645.6003814,-1.13,-1.07
1729608645.6996894,-1.02,-1.25
1729608645.8007,-0.74,-1.07
1729608645.9085126,-0.26,-1.01
1729608646.0016804,0.37,-1.31
1729608646.100352,1.11,-1.69
1729608646.199997,1.95,-2.02
1729608646.312039,2.87,-2.17
1729608646.4090974,3.95,-2.21
1729608646.5026314,5.12,-2.18
1729608646.600522,6.4,-2.26
1729608646.7206483,7.76,-2.39
1729608646.8084857,9.14,-2.64
1729608646.900202,10.5,-2.81
1729608647.0003674,11.73,-2.79
1729608647.0999808,12.52,-2.75
1729608647.2112985,12.69,-2.73
1729608647.300393,12.23,-2.74
1729608647.400313,11.35,-2.73
1729608647.503472,10.22,-2.45
1729608647.6138284,8.95,-1.8
1729608647.7097483,7.77,-0.97
1729608647.7996771,6.83,-0.03
1729608647.8997617,6.28,0.95
1729608648.0041368,6.24,1.86
1729608648.1087496,6.72,2.44
1729608648.1999366,7.6,2.52
1729608648.3004308,8.64,2.19
1729608648.404622,9.69,1.57
1729608648.505826,10.61,0.86
1729608648.6111324,11.3,0.23
1729608648.699707,11.68,-0.11
1729608648.8005023,11.8,-0.17
1729608648.9122117,11.71,-0.01
1729608649.0041425,11.48,0.29
1729608649.101379,11.19,0.71
1729608649.199843,10.91,1.2
1729608649.3032897,10.67,1.67
1729608649.4071116,10.49,2.1
1729608649.5214736,10.37,2.44
1729608649.5999577,10.31,2.69
1729608649.699732,10.3,2.82
1729608649.8051918,10.35,2.82
1729608649.900838,10.47,2.67
1729608650.0000594,10.64,2.4
1729608650.099937,10.85,2.03
1729608650.212065,11.06,1.61
1729608650.2997344,11.26,1.2
1729608650.3997276,11.41,0.83
1729608650.5025108,11.5,0.56
1729608650.6083934,11.51,0.4
1729608650.704305,11.45,0.37
1729608650.80008,11.35,0.47
1729608650.8994844,11.21,0.67
1729608650.9999967,11.06,0.94
1729608651.1061158,10.9,1.28
1729608651.2027197,10.74,1.63
1729608651.3003333,10.6,1.95
1729608651.399447,10.51,2.2
1729608651.511348,10.48,2.35
1729608651.605641,10.52,2.39
1729608651.7001529,10.63,2.32
1729608651.8001652,10.8,2.16
1729608651.9121804,10.98,1.96
1729608652.0049307,11.15,1.73
1729608652.0997894,11.27,1.5
1729608652.2000606,11.35,1.29
1729608652.2998793,11.36,1.12
1729608652.4042757,11.31,1.0
1729608652.5014029,11.2,0.94
1729608652.600145,11.07,0.94
1729608652.7002199,10.95,1.01
1729608652.809508,10.84,1.14
1729608652.9012535,10.79,1.29
1729608653.0003214,10.79,1.46
1729608653.0995111,10.86,1.63
1729608653.216287,10.97,1.8
1729608653.3026662,11.12,1.97
1729608653.3999608,11.29,2.14
1729608653.504141,11.49,2.28
1729608653.6000893,11.69,2.38
1729608653.7031784,11.89,2.42
1729608653.800542,12.06,2.4
1729608653.8999639,12.19,2.33
1729608653.999581,12.28,2.24
1729608654.1051881,12.31,2.13
1729608654.1989865,12.31,2.05
1729608654.299708,12.28,2.0
1729608654.400082,12.24,2.0
1729608654.5138466,12.21,2.05
1729608654.5992846,12.2,2.16
1729608654.6995554,12.22,2.3
1729608654.799539,12.27,2.47
1729608654.9081047,12.36,2.65
1729608655.0060825,12.49,2.84
1729608655.1078153,12.65,3.01
1729608655.1998267,12.83,3.16
1729608655.3002954,13.03,3.28
1729608655.4015336,13.24,3.36
1729608655.5023377,13.42,3.4
1729608655.6004891,13.56,3.42
1729608655.7003956,13.68,3.42
1729608655.8090227,13.74,3.42
1729608655.9002893,13.77,3.42
1729608655.9997826,13.78,3.41
1729608656.099959,13.78,3.41
1729608656.213569,13.8,3.42
1729608656.2993956,13.83,3.45
1729608656.4001842,13.89,3.5
1729608656.5005393,13.97,3.57
1729608656.601302,14.06,3.67
1729608656.7049942,14.17,3.78
1729608656.800024,14.28,3.89
1729608656.9003208,14.4,4.01
1729608657.0001814,14.52,4.12
1729608657.1041484,14.64,4.22
1729608657.2012882,14.76,4.32
1729608657.2994618,14.87,4.4
1729608657.4003084,14.96,4.48
1729608657.5134668,15.04,4.54
1729608657.599979,15.1,4.59
1729608657.7004247,15.16,4.63
1729608657.7999966,15.21,4.66
1729608657.9003305,15.26,4.67
1729608658.002104,15.31,4.7
1729608658.0993116,15.38,4.74
1729608658.1997812,15.45,4.8
1729608658.3006058,15.54,4.87
1729608658.4050913,15.64,4.95
1729608658.4997933,15.74,5.03
1729608658.5999942,15.85,5.12
1729608658.7000358,15.96,5.21
1729608658.80011,16.08,5.3
1729608658.908533,16.2,5.39
1729608658.9992237,16.3,5.47
1729608659.099828,16.39,5.54
1729608659.2139435,16.48,5.61
1729608659.3100097,16.56,5.73
1729608659.4019098,16.63,5.89
1729608659.5001318,16.69,6.05
1729608659.6003132,16.75,6.16
1729608659.7048237,16.82,6.24
1729608659.799867,16.94,6.31
1729608659.899594,17.1,6.37
1729608660.0005846,17.26,6.41
1729608660.1069074,17.45,6.44
1729608660.1999002,17.61,6.45
1729608660.2995236,17.78,6.47
1729608660.39925,17.96,6.51
1729608660.5129724,18.13,6.55
1729608660.6067095,18.29,6.54
1729608660.7060773,18.4,6.53
1729608660.800163,18.48,6.54
1729608660.9003599,18.58,6.61
1729608661.0026145,18.65,6.74
1729608661.100044,18.73,6.83
1729608661.2031772,18.78,6.94
1729608661.300152,18.78,7.09
1729608661.4072134,18.74,7.24
1729608661.500133,18.65,7.38
1729608661.6005673,18.58,7.46
1729608661.6993458,18.55,7.48
1729608661.8094776,18.56,7.49
1729608661.9016454,18.61,7.48
1729608661.9996388,18.67,7.46
1729608662.1000795,18.76,7.45
1729608662.2087824,18.85,7.44
1729608662.309418,18.96,7.45
1729608662.4062512,19.07,7.48
1729608662.4994633,19.18,7.53
1729608662.6151354,19.29,7.59
1729608662.7059667,19.39,7.67
1729608662.7985883,19.48,7.75
1729608662.8995736,19.56,7.84
1729608662.9996152,19.61,7.94
1729608663.110444,19.66,8.03
1729608663.2012312,19.68,8.11
1729608663.300202,19.71,8.2
1729608663.4010108,19.73,8.27
1729608663.5093632,19.77,8.34
1729608663.6103182,19.82,8.4
1729608663.6999993,19.89,8.46
1729608663.7999356,19.98,8.51
1729608663.9000924,20.07,8.56
1729608664.002906,20.16,8.61
1729608664.1030376,20.23,8.65
1729608664.1996682,20.29,8.69
1729608664.2996612,20.31,8.7
1729608664.4087508,20.31,8.69
1729608664.499687,20.29,8.67
1729608664.6002588,20.24,8.61
1729608664.6994827,20.18,8.54
1729608664.809706,20.12,8.46
1729608664.9045382,20.08,8.4
1729608665.0000594,20.05,8.35
1729608665.0992348,20.05,8.33
1729608665.1999974,20.08,8.31
1729608665.319131,20.14,8.31
1729608665.4004066,20.23,8.31
1729608665.5000453,20.32,8.32
1729608665.600517,20.39,8.33
1729608665.70577,20.43,8.36
1729608665.8042483,20.43,8.4
1729608665.9003484,20.38,8.45
1729608665.9998958,20.31,8.5
1729608666.103603,20.22,8.55
1729608666.2107236,20.13,8.59
1729608666.300422,20.04,8.63
1729608666.399933,19.95,8.65
1729608666.5124571,19.88,8.66
1729608666.6060543,19.85,8.66
1729608666.6994724,19.86,8.66
1729608666.7995868,19.91,8.65
1729608666.8993726,20.0,8.62
1729608667.0035021,20.11,8.58
1729608667.1003895,20.23,8.52
1729608667.1992226,20.34,8.44
1729608667.3052816,20.43,8.36
1729608667.4118545,20.47,8.27
1729608667.50372,20.46,8.18
1729608667.600253,20.4,8.11
1729608667.699229,20.31,8.06
1729608667.8115711,20.21,8.05
1729608667.9043665,20.11,8.11
1729608667.9997602,20.03,8.23
1729608668.1030636,19.98,8.39
1729608668.2048495,19.94,8.57
1729608668.3129017,19.93,8.75
1729608668.3999903,19.94,8.9
1729608668.4995942,19.97,9.02
1729608668.5987966,20.03,9.07
1729608668.7180035,20.11,9.05
1729608668.809969,20.2,8.97
1729608668.909659,20.29,8.82
1729608669.0269036,20.36,8.62
1729608669.1104069,20.41,8.39
1729608669.208548,20.43,8.15
1729608669.3099527,20.41,7.94
