Timestamp,Pitch,Roll
1729617276.84569,5.75,2.13
1729617276.936927,5.87,2.15
1729617277.034813,6.0,2.19
1729617277.132755,6.11,2.24
1729617277.2344737,6.19,2.28
1729617277.3464499,6.23,2.31
1729617277.4344082,6.22,2.32
1729617277.5328941,6.18,2.31
1729617277.6326172,6.1,2.3
1729617277.7435858,6.01,2.28
1729617277.839855,5.9,2.26
1729617277.9341369,5.79,2.25
1729617278.0325563,5.7,2.25
1729617278.133418,5.64,2.24
1729617278.232087,5.6,2.24
1729617278.3333092,5.61,2.23
1729617278.4356437,5.65,2.22
1729617278.535117,5.72,2.22
1729617278.6398866,5.8,2.23
1729617278.7342045,5.91,2.26
1729617278.8330472,6.01,2.29
1729617278.9327154,6.12,2.32
1729617279.0466344,6.21,2.33
1729617279.136349,6.27,2.32
1729617279.2328663,6.3,2.3
1729617279.333813,6.27,2.27
1729617279.4361498,6.21,2.24
1729617279.5386121,6.09,2.23
1729617279.6329312,5.95,2.24
1729617279.732134,5.8,2.27
1729617279.8356457,5.66,2.31
1729617279.9336722,5.57,2.36
1729617280.0327556,5.54,2.4
1729617280.1328135,5.58,2.44
1729617280.2328906,5.69,2.47
1729617280.343705,5.86,2.49
1729617280.4349837,6.07,2.49
1729617280.5329025,6.29,2.49
1729617280.6325395,6.49,2.48
1729617280.7370808,6.64,2.47
1729617280.8340023,6.74,2.47
1729617280.9322064,6.77,2.48
1729617281.0321882,6.74,2.51
1729617281.132316,6.69,2.56
1729617281.2355351,6.62,2.64
1729617281.332803,6.58,2.76
1729617281.4348621,6.58,2.91
1729617281.5328064,6.64,3.08
1729617281.6456337,6.76,3.25
1729617281.7322998,6.94,3.42
1729617281.8320537,7.16,3.57
1729617281.932278,7.4,3.7
1729617282.0372787,7.65,3.78
1729617282.1388798,7.86,3.81
1729617282.2334492,8.02,3.79
1729617282.3322263,8.14,3.72
1729617282.4325652,8.2,3.64
1729617282.540814,8.21,3.54
1729617282.6359272,8.19,3.46
1729617282.7328672,8.13,3.39
1729617282.8368301,8.08,3.35
1729617282.9386687,8.04,3.36
1729617283.0377545,8.04,3.42
1729617283.1325815,8.09,3.54
1729617283.2324936,8.2,3.72
1729617283.3364973,8.37,3.95
1729617283.432591,8.59,4.21
1729617283.532545,8.86,4.48
1729617283.6328475,9.14,4.72
1729617283.7329886,9.43,4.92
1729617283.844675,9.67,5.07
1729617283.9327064,9.86,5.15
1729617284.031917,9.96,5.18
1729617284.1325366,9.98,5.16
1729617284.235514,9.9,5.09
1729617284.3342338,9.72,4.99
1729617284.4327745,9.47,4.89
1729617284.532974,9.19,4.79
1729617284.634337,8.94,4.73
1729617284.7389278,8.75,4.7
1729617284.8320277,8.67,4.71
1729617284.9325101,8.7,4.76
1729617285.0457487,8.87,4.87
1729617285.1363637,9.13,5.03
1729617285.2323918,9.49,5.25
1729617285.332032,9.9,5.51
1729617285.4326296,10.32,5.78
1729617285.5354269,10.72,6.04
1729617285.6329691,11.07,6.25
1729617285.7329097,11.35,6.39
1729617285.8324497,11.55,6.45
1729617285.9419973,11.68,6.44
1729617286.0402,11.72,6.37
1729617286.1321685,11.67,6.25
1729617286.2336805,11.55,6.08
1729617286.344075,11.38,5.87
1729617286.4318783,11.2,5.67
1729617286.5324717,11.03,5.52
1729617286.6322758,10.93,5.45
1729617286.732409,10.92,5.48
1729617286.8454936,11.02,5.62
1729617286.9316087,11.24,5.86
1729617287.0329554,11.54,6.16
1729617287.1350603,11.9,6.5
1729617287.2377586,12.28,6.82
1729617287.333199,12.64,7.09
1729617287.4327893,12.92,7.28
1729617287.5320563,13.1,7.37
1729617287.6381211,13.15,7.36
1729617287.733231,13.07,7.26
1729617287.8323545,12.88,7.1
1729617287.9330623,12.64,6.93
1729617288.032546,12.38,6.78
1729617288.1330123,12.16,6.7
1729617288.23231,12.03,6.7
1729617288.3327305,12.02,6.78
1729617288.4336333,12.13,6.93
1729617288.5359092,12.36,7.12
1729617288.6318533,12.68,7.32
1729617288.73254,13.05,7.52
1729617288.8327272,13.42,7.7
1729617288.9418263,13.77,7.84
1729617289.0351074,14.07,7.93
1729617289.1336741,14.29,7.97
1729617289.2324166,14.43,7.97
1729617289.347253,14.49,7.95
1729617289.44155,14.46,7.91
1729617289.5371165,14.38,7.88
1729617289.6325166,14.26,7.87
1729617289.732078,14.12,7.86
1729617289.8461788,13.97,7.88
1729617289.9344926,13.87,7.92
1729617290.0329993,13.81,7.98
1729617290.1328485,13.83,8.06
1729617290.2472608,13.94,8.17
1729617290.3397276,14.14,8.3
1729617290.4321094,14.42,8.43
1729617290.5318608,14.74,8.55
1729617290.6470864,15.06,8.66
1729617290.736026,15.33,8.73
1729617290.8318696,15.51,8.77
1729617290.9322615,15.58,8.78
1729617291.0324347,15.55,8.76
1729617291.1438806,15.42,8.73
1729617291.2354934,15.22,8.68
1729617291.3321054,14.99,8.64
1729617291.432255,14.78,8.64
1729617291.5384371,14.64,8.67
1729617291.635581,14.59,8.75
1729617291.7330253,14.66,8.87
1729617291.8322854,14.84,9.02
1729617291.9413643,15.11,9.17
1729617292.039892,15.44,9.29
1729617292.132762,15.78,9.37
1729617292.2324066,16.09,9.41
1729617292.3486028,16.32,9.41
1729617292.4405704,16.47,9.36
1729617292.5332596,16.51,9.3
1729617292.632047,16.46,9.24
1729617292.7337801,16.32,9.17
1729617292.8437092,16.08,9.1
1729617292.936351,15.74,9.04
1729617293.032832,15.32,8.97
1729617293.1324825,14.91,8.92
1729617293.2474163,14.57,8.9
1729617293.339399,14.36,8.93
1729617293.4327455,14.29,9.0
1729617293.5333056,14.38,9.09
1729617293.6473424,14.61,9.2
1729617293.7405934,14.94,9.3
1729617293.837759,15.34,9.37
1729617293.9328778,15.73,9.39
1729617294.0322716,16.09,9.38
1729617294.1453886,16.34,9.33
1729617294.2317135,16.46,9.25
1729617294.3324912,16.43,9.16
1729617294.43222,16.25,9.08
1729617294.5431292,15.94,9.01
1729617294.6358643,15.53,8.95
1729617294.7327611,15.1,8.91
1729617294.8321736,14.67,8.88
1729617294.9377923,14.33,8.85
1729617295.0325031,14.09,8.84
1729617295.1332254,13.98,8.84
1729617295.2328587,14.03,8.84
1729617295.3323717,14.22,8.84
1729617295.436954,14.53,8.84
1729617295.5312753,14.92,8.83
1729617295.6323662,15.33,8.82
1729617295.7323165,15.69,8.81
1729617295.8391116,15.95,8.82
1729617295.942854,16.06,8.84
1729617296.0329587,16.04,8.87
1729617296.1325278,15.9,8.93
1729617296.2325196,15.69,9.0
1729617296.3418381,15.46,9.08
1729617296.434013,15.25,9.18
1729617296.532216,15.11,9.28
1729617296.643902,15.04,9.37
