Timestamp,Pitch,Roll
1729609778.5909724,9.05,2.42
1729609778.682625,9.53,2.39
1729609778.7812312,10.21,2.06
1729609778.8803856,10.93,1.72
1729609778.9910986,11.46,1.42
1729609779.0835576,11.71,1.22
1729609779.1800532,11.74,1.05
1729609779.280237,11.6,0.89
1729609779.3826542,11.3,0.8
1729609779.4919655,10.86,0.85
1729609779.5839872,10.32,1.05
1729609779.6827266,9.78,1.33
1729609779.790693,9.32,1.61
1729609779.889834,9.01,1.83
1729609779.9795036,8.88,2.0
1729609780.0804436,8.95,2.12
1729609780.197032,9.22,2.23
1729609780.2842536,9.64,2.3
1729609780.3804731,10.14,2.32
1729609780.480261,10.65,2.24
1729609780.5797722,11.1,2.07
1729609780.685969,11.42,1.86
1729609780.791899,11.6,1.64
1729609780.8813941,11.6,1.46
1729609780.9806256,11.43,1.32
1729609781.080705,11.12,1.23
1729609781.1883163,10.69,1.16
1729609781.2803586,10.22,1.13
1729609781.380828,9.78,1.15
1729609781.4807537,9.46,1.22
1729609781.5834913,9.27,1.32
1729609781.6830754,9.22,1.42
1729609781.780597,9.3,1.52
1729609781.8804371,9.5,1.62
1729609781.9901237,9.82,1.74
1729609782.0824294,10.2,1.86
1729609782.1808662,10.61,1.94
1729609782.28236,10.96,1.94
1729609782.394953,11.22,1.85
1729609782.490825,11.34,1.69
1729609782.5794857,11.3,1.5
1729609782.6824596,11.12,1.32
1729609782.7802188,10.8,1.17
1729609782.8903158,10.36,1.04
1729609782.98032,9.82,0.92
1729609783.0804782,9.26,0.81
1729609783.1806927,8.73,0.7
1729609783.2906668,8.31,0.59
1729609783.384198,7.94,0.59
1729609783.4799764,7.68,0.67
1729609783.5803752,7.65,0.75
1729609783.6842253,7.84,0.82
1729609783.7845995,8.18,0.84
1729609783.8810287,8.56,0.79
1729609783.980445,8.92,0.67
1729609784.0804603,9.19,0.48
1729609784.1821344,9.37,0.24
1729609784.2811642,9.42,0.0
1729609784.3806863,9.36,-0.2
1729609784.480257,9.18,-0.34
1729609784.5962436,8.89,-0.4
1729609784.6837583,8.5,-0.36
1729609784.7801828,8.05,-0.23
1729609784.8800523,7.59,-0.05
1729609784.995377,7.14,0.13
1729609785.0879292,6.78,0.3
1729609785.1805537,6.52,0.43
1729609785.280159,6.35,0.52
1729609785.380408,6.26,0.58
1729609785.4826875,6.24,0.61
1729609785.5847569,6.27,0.61
1729609785.681916,6.31,0.57
1729609785.7801635,6.38,0.45
1729609785.8922167,6.46,0.25
1729609785.9885905,6.55,-0.03
1729609786.0831325,6.64,-0.34
1729609786.1803167,6.7,-0.63
1729609786.2805572,6.72,-0.84
1729609786.386655,6.67,-0.95
1729609786.4804723,6.6,-0.96
1729609786.5806823,6.5,-0.88
1729609786.6913042,6.38,-0.74
1729609786.788174,6.2,-0.54
1729609786.8814685,5.94,-0.3
1729609786.9801614,5.64,-0.03
1729609787.0804682,5.32,0.24
1729609787.184302,5.02,0.49
1729609787.2929258,4.76,0.66
1729609787.3807855,4.6,0.77
1729609787.4802687,4.52,0.79
1729609787.5964289,4.52,0.71
1729609787.6802413,4.58,0.53
1729609787.7804341,4.66,0.27
1729609787.8803236,4.73,-0.04
1729609787.9868484,4.78,-0.37
1729609788.0850549,4.8,-0.67
1729609788.1799946,4.78,-0.91
1729609788.2803483,4.71,-1.04
1729609788.38068,4.58,-1.06
1729609788.4826934,4.39,-0.98
1729609788.5814009,4.18,-0.8
1729609788.680114,3.95,-0.56
1729609788.7799525,3.72,-0.27
1729609788.8917034,3.53,0.01
1729609788.9865503,3.38,0.3
1729609789.079868,3.31,0.54
1729609789.1801527,3.31,0.73
1729609789.2904458,3.37,0.87
1729609789.384105,3.49,0.92
1729609789.4800308,3.61,0.89
1729609789.5806377,3.74,0.77
1729609789.6800609,3.83,0.59
1729609789.786362,3.86,0.34
1729609789.884788,3.83,0.06
1729609789.9800806,3.73,-0.24
1729609790.0805314,3.55,-0.5
1729609790.1823933,3.33,-0.74
1729609790.2841105,3.07,-0.9
1729609790.3826118,2.8,-0.97
1729609790.4798994,2.53,-0.95
1729609790.5832832,2.27,-0.81
1729609790.6799307,2.05,-0.59
1729609790.7801745,1.87,-0.3
1729609790.8804324,1.73,0.02
1729609790.9872165,1.63,0.32
1729609791.0873995,1.57,0.57
1729609791.1841815,1.55,0.74
1729609791.2807863,1.57,0.8
1729609791.3806384,1.63,0.77
1729609791.4923468,1.71,0.66
1729609791.5801373,1.78,0.47
1729609791.6798418,1.84,0.24
1729609791.7807128,1.86,-0.02
1729609791.8905878,1.83,-0.29
1729609791.9910564,1.73,-0.54
1729609792.0807362,1.56,-0.73
1729609792.1797986,1.34,-0.85
1729609792.283537,1.06,-0.89
1729609792.3887658,0.77,-0.85
1729609792.4844964,0.48,-0.73
1729609792.5799098,0.23,-0.57
1729609792.6799197,0.03,-0.36
1729609792.7877345,-0.1,-0.13
1729609792.8817716,-0.13,0.11
1729609792.979844,-0.09,0.35
1729609793.0797596,0.03,0.55
1729609793.184091,0.2,0.7
1729609793.2883198,0.38,0.79
1729609793.3818543,0.55,0.79
1729609793.480071,0.69,0.71
1729609793.5827365,0.79,0.55
1729609793.6914303,0.83,0.32
1729609793.7801769,0.81,0.06
1729609793.8797472,0.73,-0.21
1729609793.980421,0.6,-0.47
1729609794.0937274,0.44,-0.68
1729609794.1798868,0.28,-0.8
1729609794.279996,0.13,-0.85
1729609794.3804739,0.02,-0.83
1729609794.492454,-0.04,-0.74
1729609794.5818841,-0.05,-0.58
1729609794.6800659,-0.02,-0.37
1729609794.7796557,0.06,-0.12
1729609794.881814,0.16,0.14
1729609794.989405,0.28,0.39
1729609795.0795765,0.39,0.62
1729609795.1797209,0.5,0.78
1729609795.290023,0.58,0.88
1729609795.3940015,0.63,0.89
1729609795.4870615,0.65,0.81
1729609795.5796003,0.63,0.64
1729609795.6799142,0.58,0.4
1729609795.783527,0.51,0.11
1729609795.8797545,0.41,-0.21
1729609795.9806967,0.31,-0.52
1729609796.0795722,0.19,-0.78
1729609796.1796715,0.09,-0.97
1729609796.292942,0.0,-1.06
1729609796.3801267,-0.05,-1.03
1729609796.4802399,-0.07,-0.9
1729609796.5831187,-0.04,-0.69
1729609796.6891131,0.01,-0.41
1729609796.780876,0.09,-0.1
1729609796.8794706,0.2,0.22
1729609796.980359,0.32,0.52
1729609797.0934784,0.42,0.74
1729609797.1859622,0.52,0.88
1729609797.2807624,0.58,0.93
1729609797.379946,0.6,0.89
1729609797.4886189,0.58,0.75
1729609797.584092,0.52,0.54
1729609797.6806715,0.43,0.28
1729609797.7799447,0.31,-0.02
1729609797.8816674,0.18,-0.31
1729609797.9819121,0.06,-0.58
1729609798.0799813,-0.05,-0.78
1729609798.180478,-0.13,-0.9
1729609798.2799067,-0.17,-0.95
1729609798.3938825,-0.16,-0.9
1729609798.4881508,-0.1,-0.77
1729609798.5813124,0.01,-0.56
1729609798.6803308,0.16,-0.3
1729609798.7824407,0.32,-0.0
1729609798.8802593,0.46,0.3
1729609798.980487,0.56,0.57
1729609799.080057,0.6,0.8
1729609799.1799467,0.58,0.94
1729609799.281791,0.51,0.98
1729609799.3824108,0.37,0.94
1729609799.4804604,0.19,0.79
1729609799.5801857,-0.03,0.57
1729609799.6837423,-0.28,0.27
1729609799.782506,-0.52,-0.06
1729609799.8799329,-0.74,-0.4
1729609799.9811587,-0.88,-0.69
1729609800.0908768,-0.93,-0.91
1729609800.18283,-0.9,-1.04
1729609800.2884207,-0.78,-1.04
1729609800.3802521,-0.58,-0.92
1729609800.4800909,-0.33,-0.71
1729609800.5820506,-0.04,-0.4
