Timestamp,Pitch,Roll
1729617521.8301618,5.92,2.16
1729617521.938981,6.08,2.03
1729617522.0378895,6.23,1.98
1729617522.1562314,6.34,2.0
1729617522.2415297,6.4,2.09
1729617522.338611,6.39,2.22
1729617522.4383533,6.32,2.35
1729617522.5385373,6.17,2.43
1729617522.646422,5.97,2.46
1729617522.745277,5.74,2.44
1729617522.8388367,5.51,2.35
1729617522.9390192,5.3,2.22
1729617523.0409513,5.14,2.07
1729617523.1463463,5.05,1.94
1729617523.238394,5.05,1.82
1729617523.3391805,5.12,1.74
1729617523.4416087,5.27,1.71
1729617523.5493727,5.47,1.74
1729617523.6442416,5.7,1.82
1729617523.7390568,5.94,1.93
1729617523.848223,6.14,2.05
1729617523.9510376,6.29,2.17
1729617524.0423453,6.38,2.26
1729617524.1403131,6.38,2.33
1729617524.2386096,6.31,2.37
1729617524.3378046,6.18,2.38
1729617524.446603,6.0,2.34
1729617524.5383615,5.8,2.28
1729617524.6388488,5.6,2.18
1729617524.7481518,5.42,2.07
1729617524.8440785,5.3,1.97
1729617524.9486775,5.27,1.89
1729617525.03853,5.34,1.85
1729617525.1387208,5.5,1.87
1729617525.2440908,5.73,1.94
1729617525.3470943,5.99,2.07
1729617525.4388957,6.27,2.23
1729617525.538535,6.52,2.41
1729617525.6461349,6.7,2.57
1729617525.7461348,6.79,2.68
1729617525.8399725,6.76,2.73
1729617525.938087,6.64,2.72
1729617526.0384593,6.43,2.65
1729617526.14856,6.17,2.55
1729617526.2384896,5.91,2.42
1729617526.3382444,5.69,2.28
1729617526.4382365,5.54,2.14
1729617526.5484736,5.48,2.03
1729617526.6397002,5.51,1.95
1729617526.7388575,5.61,1.91
1729617526.838199,5.76,1.94
1729617526.9455044,5.93,2.02
1729617527.043277,6.1,2.14
1729617527.1382391,6.25,2.29
1729617527.2387445,6.37,2.44
1729617527.3390708,6.45,2.56
1729617527.4490502,6.46,2.65
1729617527.5385206,6.4,2.69
1729617527.6387596,6.25,2.69
1729617527.741066,6.07,2.67
1729617527.8476384,5.85,2.62
1729617527.9455912,5.64,2.52
1729617528.0384436,5.43,2.36
1729617528.138141,5.24,2.14
1729617528.2532783,5.08,1.88
1729617528.3391447,4.95,1.63
1729617528.4389107,4.86,1.4
1729617528.5377939,4.81,1.22
1729617528.6435978,4.81,1.11
1729617528.7557685,4.85,1.06
1729617528.8394423,4.93,1.08
1729617528.939598,5.03,1.17
1729617529.0475879,5.14,1.29
1729617529.1488965,5.23,1.45
1729617529.2382774,5.32,1.6
1729617529.3384616,5.4,1.73
1729617529.438681,5.44,1.79
