Timestamp,Pitch,Roll
1729609922.588333,10.82,1.97
1729609922.6956568,10.53,1.8
1729609922.792989,10.23,1.61
1729609922.891289,9.96,1.43
1729609922.9876697,9.75,1.27
1729609923.0882158,9.62,1.16
1729609923.1880662,9.58,1.11
1729609923.2916586,9.62,1.12
1729609923.3880463,9.76,1.17
1729609923.489091,9.97,1.27
1729609923.5925567,10.23,1.4
1729609923.687851,10.49,1.54
1729609923.7879195,10.69,1.68
1729609923.8884764,10.82,1.8
1729609923.9936435,10.88,1.9
1729609924.0876162,10.85,1.97
1729609924.1879513,10.77,1.99
1729609924.2879481,10.65,1.97
1729609924.3939648,10.51,1.9
1729609924.4882014,10.34,1.78
1729609924.5882056,10.16,1.63
1729609924.6881433,10.01,1.48
1729609924.7995608,9.9,1.34
1729609924.8953056,9.88,1.25
1729609924.9881403,9.94,1.21
1729609925.0878308,10.06,1.23
1729609925.1877642,10.2,1.3
1729609925.290011,10.32,1.43
1729609925.3872085,10.39,1.59
1729609925.4877584,10.43,1.77
1729609925.5933459,10.43,1.94
1729609925.6880422,10.43,2.07
1729609925.794292,10.41,2.15
1729609925.8881934,10.37,2.17
1729609925.9877279,10.3,2.12
1729609926.1029394,10.2,2.03
1729609926.1881385,10.1,1.91
1729609926.2904594,10.03,1.78
1729609926.3875146,10.0,1.66
1729609926.4877527,10.0,1.54
1729609926.5965247,10.03,1.45
1729609926.6871583,10.06,1.37
1729609926.7874286,10.08,1.33
1729609926.88781,10.1,1.32
1729609926.9998848,10.12,1.35
1729609927.0875094,10.14,1.42
1729609927.1873755,10.14,1.52
1729609927.288129,10.13,1.64
1729609927.3879216,10.1,1.77
1729609927.4965305,10.06,1.88
1729609927.5885224,10.01,1.94
1729609927.6876466,9.96,1.95
1729609927.7885246,9.91,1.91
1729609927.8916526,9.85,1.79
1729609927.987717,9.81,1.66
1729609928.0875344,9.79,1.5
1729609928.1875434,9.79,1.35
1729609928.2946532,9.82,1.2
1729609928.39005,9.85,1.07
1729609928.4871655,9.87,0.96
1729609928.5884223,9.85,0.85
1729609928.696469,9.79,0.77
1729609928.7952476,9.68,0.71
1729609928.8873692,9.53,0.68
1729609928.9883184,9.36,0.67
1729609929.1042717,9.17,0.68
1729609929.1981118,8.98,0.69
1729609929.2963011,8.79,0.71
1729609929.3877218,8.63,0.71
1729609929.4885242,8.5,0.7
1729609929.5996807,8.41,0.66
1729609929.691932,8.36,0.61
1729609929.788121,8.35,0.54
1729609929.8883705,8.37,0.46
1729609929.9879212,8.41,0.35
1729609930.0907342,8.45,0.24
1729609930.1884403,8.46,0.1
1729609930.2875996,8.42,-0.03
1729609930.3919122,8.33,-0.16
1729609930.487633,8.19,-0.26
1729609930.5903013,8.0,-0.32
1729609930.6880517,7.78,-0.32
1729609930.7881095,7.55,-0.27
1729609930.8988535,7.32,-0.16
1729609930.9903293,7.12,-0.02
1729609931.0880473,6.96,0.12
1729609931.1878712,6.84,0.25
1729609931.2995796,6.77,0.34
1729609931.395213,6.74,0.39
1729609931.4876122,6.75,0.37
1729609931.588246,6.78,0.32
1729609931.7042875,6.82,0.24
1729609931.795295,6.86,0.14
1729609931.887824,6.87,0.03
1729609931.9878292,6.85,-0.07
1729609932.088219,6.78,-0.17
1729609932.190827,6.66,-0.25
1729609932.2889504,6.49,-0.3
1729609932.3876913,6.27,-0.33
1729609932.4879336,6.04,-0.34
1729609932.591005,5.8,-0.33
1729609932.6935744,5.58,-0.3
1729609932.7890139,5.39,-0.24
1729609932.8879466,5.26,-0.16
1729609932.986784,5.17,-0.07
1729609933.0909643,5.12,0.04
1729609933.1890233,5.12,0.15
1729609933.2874978,5.16,0.25
1729609933.3934412,5.23,0.35
1729609933.499775,5.3,0.42
1729609933.587541,5.37,0.46
1729609933.6882622,5.42,0.47
1729609933.787754,5.44,0.42
1729609933.894072,5.44,0.33
1729609933.9839532,5.38,0.19
1729609934.0875537,5.28,-0.0
1729609934.1925569,5.15,-0.2
1729609934.3035362,4.98,-0.39
1729609934.3871114,4.79,-0.54
1729609934.487264,4.61,-0.62
1729609934.5895238,4.44,-0.64
1729609934.694749,4.31,-0.59
1729609934.7887645,4.25,-0.49
1729609934.8881023,4.27,-0.35
1729609934.9871693,4.35,-0.19
1729609935.0876822,4.51,-0.03
1729609935.191396,4.72,0.1
1729609935.287601,4.98,0.21
1729609935.388309,5.24,0.3
1729609935.4882421,5.48,0.35
1729609935.5944512,5.7,0.38
1729609935.6912286,5.84,0.4
1729609935.7873464,5.89,0.37
1729609935.8880591,5.87,0.31
1729609935.9927833,5.76,0.2
