Timestamp,Pitch,Roll
1729609854.0890229,10.53,1.72
1729609854.1981125,10.6,1.57
1729609854.288797,10.63,1.42
1729609854.3889813,10.62,1.3
1729609854.489496,10.59,1.22
1729609854.5957935,10.54,1.17
1729609854.6888728,10.48,1.17
1729609854.7893941,10.42,1.21
1729609854.8894367,10.38,1.3
1729609854.989512,10.35,1.41
1729609855.0970721,10.34,1.54
1729609855.1928368,10.36,1.68
1729609855.2887938,10.39,1.81
1729609855.3891618,10.44,1.91
1729609855.491953,10.49,1.97
1729609855.5896893,10.54,1.98
1729609855.688969,10.59,1.93
1729609855.7891939,10.63,1.81
1729609855.8898954,10.64,1.65
1729609855.993039,10.62,1.48
1729609856.0890326,10.57,1.32
1729609856.1903753,10.5,1.2
1729609856.2890828,10.42,1.14
1729609856.4013686,10.33,1.16
1729609856.4914987,10.24,1.25
1729609856.588982,10.18,1.4
1729609856.689018,10.13,1.58
1729609856.7998211,10.12,1.78
1729609856.896349,10.13,1.95
1729609856.989548,10.17,2.08
1729609857.0891376,10.25,2.15
1729609857.1946971,10.35,2.15
1729609857.2980592,10.46,2.08
1729609857.3896153,10.57,1.95
1729609857.489561,10.64,1.76
1729609857.5895338,10.66,1.55
1729609857.6979904,10.64,1.35
1729609857.7880015,10.58,1.19
1729609857.88911,10.49,1.08
1729609857.9894016,10.38,1.04
1729609858.0936878,10.28,1.07
1729609858.1938665,10.2,1.16
1729609858.2894619,10.15,1.28
1729609858.3884788,10.13,1.42
1729609858.4953291,10.14,1.56
1729609858.5798912,10.18,1.69
1729609858.6913676,10.24,1.79
1729609858.7891681,10.32,1.86
1729609858.8923674,10.4,1.9
1729609858.9801257,10.49,1.9
1729609859.0937147,10.58,1.87
1729609859.188489,10.65,1.81
1729609859.2888947,10.7,1.72
1729609859.4028094,10.72,1.62
1729609859.489898,10.7,1.5
1729609859.5891626,10.65,1.4
1729609859.689314,10.57,1.33
1729609859.7983134,10.49,1.3
1729609859.9035158,10.41,1.33
1729609859.9886456,10.33,1.4
1729609860.088784,10.29,1.49
1729609860.1957505,10.28,1.57
1729609860.290301,10.29,1.64
1729609860.3902981,10.32,1.69
1729609860.4898565,10.34,1.7
1729609860.58925,10.37,1.69
1729609860.6990051,10.38,1.64
1729609860.795317,10.38,1.58
1729609860.888883,10.35,1.48
1729609860.9890294,10.28,1.35
1729609861.1030214,10.16,1.2
1729609861.199915,10.0,1.03
1729609861.289162,9.8,0.85
1729609861.3890789,9.58,0.68
1729609861.49785,9.35,0.53
1729609861.5930123,9.14,0.43
1729609861.690308,8.96,0.37
1729609861.788878,8.83,0.36
1729609861.8920438,8.77,0.39
1729609862.0024872,8.77,0.44
1729609862.0887125,8.81,0.51
1729609862.1909251,8.86,0.58
1729609862.2889116,8.91,0.62
1729609862.4024875,8.91,0.64
1729609862.4926207,8.86,0.62
1729609862.5890248,8.74,0.57
1729609862.6889606,8.56,0.48
1729609862.7885492,8.36,0.35
1729609862.898632,8.16,0.19
1729609862.9889657,7.98,-0.0
1729609863.0894794,7.84,-0.2
1729609863.1979249,7.73,-0.4
1729609863.2932942,7.64,-0.58
1729609863.3964543,7.58,-0.71
1729609863.4885538,7.52,-0.8
1729609863.589231,7.47,-0.83
1729609863.69376,7.43,-0.82
1729609863.791762,7.38,-0.79
1729609863.8888333,7.32,-0.75
1729609863.989524,7.25,-0.71
1729609864.0916917,7.17,-0.68
1729609864.1998026,7.06,-0.67
1729609864.2920144,6.94,-0.67
1729609864.3888228,6.81,-0.69
1729609864.4892685,6.69,-0.74
1729609864.5795753,6.57,-0.82
1729609864.6889226,6.46,-0.94
1729609864.7887762,6.36,-1.08
1729609864.888709,6.25,-1.26
1729609864.9915476,6.14,-1.45
1729609865.0940151,6.04,-1.63
1729609865.189221,5.94,-1.8
