Timestamp,Pitch,Roll
1729617457.833934,6.31,2.08
1729617457.9297898,6.53,2.27
1729617458.0292594,6.68,2.45
1729617458.1389797,6.74,2.61
1729617458.2310297,6.69,2.72
1729617458.3393016,6.53,2.76
1729617458.42943,6.27,2.73
1729617458.5461137,5.95,2.63
1729617458.6442325,5.62,2.47
1729617458.7297509,5.34,2.28
1729617458.8293128,5.13,2.1
1729617458.9298499,5.02,1.95
1729617459.03271,5.01,1.86
1729617459.1295404,5.1,1.84
1729617459.2298937,5.26,1.89
1729617459.3297348,5.48,1.99
1729617459.4501648,5.72,2.13
1729617459.5402122,5.94,2.25
1729617459.6398642,6.13,2.35
1729617459.7509727,6.24,2.41
1729617459.8328607,6.26,2.44
1729617459.9323275,6.19,2.42
1729617460.034639,6.03,2.34
1729617460.1301205,5.83,2.24
1729617460.2294781,5.62,2.12
1729617460.3383684,5.42,1.98
1729617460.429392,5.25,1.85
1729617460.5395443,5.12,1.76
1729617460.6469347,5.03,1.72
1729617460.7385345,5.0,1.72
1729617460.8390048,5.01,1.76
1729617460.9291213,5.05,1.81
1729617461.0295835,5.09,1.86
1729617461.1291437,5.11,1.89
1729617461.2307384,5.08,1.9
1729617461.3356113,5.0,1.88
1729617461.450232,4.87,1.82
1729617461.5415065,4.72,1.71
1729617461.6483047,4.54,1.57
1729617461.7357602,4.36,1.41
1729617461.829442,4.19,1.23
1729617461.9292798,4.02,1.07
1729617462.0333052,3.87,0.93
1729617462.1374264,3.76,0.82
1729617462.229653,3.69,0.72
1729617462.3298194,3.66,0.64
1729617462.441976,3.66,0.58
1729617462.5392423,3.66,0.54
1729617462.630082,3.66,0.52
1729617462.7322166,3.65,0.51
1729617462.8473794,3.62,0.53
1729617462.9328933,3.57,0.55
1729617463.0358255,3.49,0.54
1729617463.129455,3.39,0.52
1729617463.24197,3.25,0.47
1729617463.3440447,3.08,0.39
1729617463.4396222,2.89,0.31
1729617463.5324154,2.69,0.21
1729617463.6294284,2.5,0.09
1729617463.740669,2.34,-0.05
1729617463.8412993,2.2,-0.19
1729617463.9393823,2.1,-0.31
1729617464.0292742,2.03,-0.37
1729617464.1292963,1.99,-0.38
1729617464.2320943,1.96,-0.34
1729617464.3369985,1.95,-0.26
1729617464.4294605,1.93,-0.17
1729617464.5290833,1.88,-0.08
1729617464.632753,1.81,0.0
1729617464.7302737,1.69,0.07
1729617464.8305414,1.54,0.12
1729617464.9501941,1.36,0.15
1729617465.0456557,1.17,0.18
1729617465.1447515,1.0,0.2
1729617465.2294114,0.85,0.21
1729617465.32997,0.73,0.21
1729617465.4292772,0.64,0.18
1729617465.5411236,0.58,0.15
1729617465.6310558,0.55,0.11
1729617465.7291088,0.55,0.09
1729617465.8293731,0.56,0.08
1729617465.944638,0.56,0.09
1729617466.039114,0.55,0.1
1729617466.1392634,0.5,0.12
1729617466.2287667,0.42,0.12
1729617466.3424556,0.3,0.11
1729617466.4388335,0.15,0.08
1729617466.5310698,-0.01,0.04
1729617466.629926,-0.18,-0.02
1729617466.731407,-0.35,-0.07
1729617466.8392644,-0.47,-0.12
1729617466.939425,-0.53,-0.16
1729617467.0397239,-0.54,-0.18
1729617467.1326334,-0.47,-0.19
1729617467.2364924,-0.35,-0.19
1729617467.3294716,-0.18,-0.18
1729617467.429499,0.01,-0.15
1729617467.5298264,0.22,-0.11
1729617467.6441422,0.37,-0.08
1729617467.73534,0.46,-0.05
1729617467.8289301,0.49,-0.04
1729617467.9457383,0.43,-0.03
1729617468.0309098,0.32,-0.03
1729617468.139362,0.15,-0.06
1729617468.2326279,-0.05,-0.08
1729617468.3291533,-0.25,-0.1
1729617468.4401643,-0.42,-0.07
1729617468.5400693,-0.53,-0.02
1729617468.6383038,-0.56,0.05
1729617468.7300756,-0.51,0.1
1729617468.8290803,-0.38,0.14
1729617468.9371736,-0.18,0.14
1729617469.0304327,0.06,0.13
1729617469.1297827,0.31,0.1
1729617469.2297316,0.55,0.08
1729617469.3442829,0.77,0.06
1729617469.432062,0.91,0.03
1729617469.5294678,0.96,0.01
1729617469.6399283,0.93,-0.0
1729617469.7484994,0.82,-0.01
1729617469.8414097,0.64,-0.01
1729617469.9395287,0.39,-0.01
1729617470.0296483,0.09,-0.03
1729617470.12959,-0.21,-0.05
1729617470.2404068,-0.5,-0.07
1729617470.3380857,-0.72,-0.07
1729617470.4287953,-0.87,-0.06
1729617470.5295224,-0.93,-0.03
1729617470.6371424,-0.89,0.0
1729617470.7393477,-0.76,0.05
1729617470.8392196,-0.54,0.09
1729617470.9293532,-0.25,0.12
1729617471.0302942,0.07,0.14
1729617471.1402328,0.39,0.15
1729617471.230417,0.68,0.13
1729617471.3293285,0.87,0.08
1729617471.4298952,0.96,-0.0
1729617471.5432444,0.96,-0.09
1729617471.6388683,0.86,-0.18
1729617471.7398877,0.68,-0.25
1729617471.830299,0.43,-0.3
1729617471.9442396,0.14,-0.3
1729617472.0360632,-0.16,-0.27
1729617472.1294303,-0.43,-0.21
1729617472.2298937,-0.64,-0.12
1729617472.330592,-0.79,-0.02
1729617472.4298835,-0.84,0.07
1729617472.5392487,-0.81,0.15
1729617472.6394508,-0.71,0.2
1729617472.7481527,-0.54,0.23
1729617472.8401797,-0.33,0.22
1729617472.9382377,-0.09,0.19
1729617473.0295093,0.17,0.15
1729617473.129352,0.43,0.1
1729617473.235053,0.62,0.07
1729617473.3368618,0.77,0.05
1729617473.439183,0.83,0.04
1729617473.5479634,0.81,0.03
1729617473.6399713,0.71,0.01
1729617473.7370381,0.54,-0.02
1729617473.832189,0.28,-0.08
1729617473.9290977,-0.01,-0.15
1729617474.0491295,-0.33,-0.22
1729617474.1390383,-0.6,-0.29
1729617474.2324917,-0.82,-0.33
1729617474.3302681,-0.94,-0.34
1729617474.430347,-0.95,-0.3
1729617474.539388,-0.85,-0.22
1729617474.6341941,-0.67,-0.11
1729617474.7293637,-0.42,0.03
1729617474.8292398,-0.17,0.16
1729617474.9395642,0.03,0.29
1729617475.0309672,0.15,0.4
1729617475.128589,0.14,0.44
1729617475.2308187,0.03,0.44
1729617475.3312082,-0.17,0.41
1729617475.442844,-0.43,0.36
1729617475.532133,-0.7,0.32
1729617475.6291916,-0.9,0.33
1729617475.7341259,-1.02,0.36
1729617475.841784,-1.04,0.34
1729617475.9389083,-0.96,0.26
1729617476.0296006,-0.78,0.13
1729617476.129023,-0.51,-0.02
1729617476.2314003,-0.19,-0.16
1729617476.3369527,0.16,-0.29
1729617476.4292104,0.49,-0.36
1729617476.5296257,0.79,-0.38
1729617476.6309898,1.05,-0.36
1729617476.7441308,1.22,-0.31
1729617476.8391252,1.34,-0.25
1729617476.9390025,1.38,-0.2
1729617477.031118,1.37,-0.16
1729617477.1306722,1.32,-0.15
1729617477.2310321,1.22,-0.13
1729617477.3290315,1.09,-0.12
1729617477.4289227,0.94,-0.1
1729617477.5367725,0.81,-0.08
1729617477.6369286,0.7,-0.05
1729617477.7386355,0.62,-0.01
1729617477.847434,0.58,0.04
1729617477.9387116,0.61,0.07
1729617478.039248,0.7,0.1
1729617478.1397014,0.85,0.1
1729617478.2322865,1.05,0.11
1729617478.3302023,1.29,0.12
1729617478.432179,1.53,0.15
1729617478.529657,1.76,0.22
1729617478.6306095,1.96,0.33
1729617478.7298229,2.12,0.45
1729617478.836124,2.23,0.58
1729617478.9391594,2.27,0.7
1729617479.0393178,2.26,0.82
1729617479.1392536,2.21,0.94
1729617479.2324286,2.13,1.04
1729617479.3373075,2.07,1.14
1729617479.4326494,2.06,1.24
1729617479.5291967,2.11,1.33
1729617479.6291654,2.23,1.39
1729617479.7409782,2.41,1.43
1729617479.829373,2.62,1.44
1729617479.929252,2.83,1.41
1729617480.0427346,3.04,1.33
1729617480.139421,3.23,1.22
1729617480.232792,3.38,1.11
1729617480.3323572,3.5,1.04
1729617480.4296541,3.57,1.04
1729617480.5453053,3.62,1.13
1729617480.637732,3.63,1.32
1729617480.7295353,3.64,1.56
1729617480.8297966,3.64,1.83
1729617480.9291375,3.66,2.07
1729617481.0385354,3.7,2.29
1729617481.1328382,3.76,2.44
1729617481.231331,3.83,2.55
1729617481.3290808,3.9,2.62
1729617481.4414706,3.97,2.65
1729617481.5329704,4.05,2.63
1729617481.6407743,4.17,2.54
1729617481.7472827,4.32,2.4
1729617481.8479857,4.49,2.25
1729617481.9393387,4.63,2.14
1729617482.0391185,4.74,2.08
1729617482.1289093,4.85,2.09
1729617482.2468126,4.99,2.12
1729617482.3427625,5.14,2.16
1729617482.434926,5.3,2.21
1729617482.5294116,5.42,2.26
1729617482.6289701,5.47,2.31
1729617482.7415342,5.48,2.37
1729617482.8393316,5.49,2.41
1729617482.939155,5.52,2.45
1729617483.0289688,5.55,2.47
1729617483.1464126,5.57,2.48
1729617483.2382925,5.59,2.47
1729617483.32941,5.64,2.44
1729617483.4296362,5.74,2.4
1729617483.5416636,5.88,2.34
1729617483.6326556,6.02,2.28
1729617483.738348,6.12,2.24
1729617483.8477952,6.18,2.23
1729617483.9290986,6.21,2.27
1729617484.0428135,6.21,2.34
1729617484.1331818,6.21,2.42
1729617484.2320998,6.19,2.49
1729617484.3295317,6.14,2.53
1729617484.4348998,6.05,2.53
1729617484.529873,5.92,2.48
1729617484.6394312,5.8,2.41
1729617484.728943,5.72,2.34
1729617484.8461018,5.72,2.27
1729617484.9297774,5.77,2.23
1729617485.030579,5.86,2.21
1729617485.1288464,5.94,2.21
1729617485.2320898,6.02,2.22
1729617485.3350391,6.07,2.23
1729617485.440672,6.09,2.25
1729617485.5383992,6.09,2.27
1729617485.6443384,6.06,2.29
1729617485.738188,6.02,2.31
1729617485.8342133,5.95,2.34
1729617485.9303074,5.84,2.36
1729617486.0292895,5.71,2.36
1729617486.1314912,5.6,2.34
1729617486.2389896,5.54,2.29
1729617486.3287313,5.54,2.24
1729617486.4396224,5.6,2.19
1729617486.54076,5.69,2.13
1729617486.6321518,5.8,2.07
1729617486.7348306,5.92,2.01
1729617486.8297164,6.03,1.96
1729617486.9290044,6.12,1.92
1729617487.0338037,6.19,1.88
1729617487.1343586,6.23,1.87
1729617487.22882,6.23,1.89
1729617487.328564,6.2,1.92
1729617487.4292846,6.13,1.98
1729617487.532117,6.04,2.07
1729617487.6288269,5.96,2.16
1729617487.7288663,5.88,2.25
1729617487.8289323,5.82,2.33
1729617487.938623,5.79,2.39
1729617488.039066,5.78,2.43
1729617488.1388276,5.77,2.44
1729617488.242096,5.76,2.43
1729617488.3393996,5.74,2.39
1729617488.4392307,5.7,2.34
1729617488.5291896,5.64,2.29
1729617488.629636,5.58,2.25
1729617488.7384992,5.53,2.22
1729617488.8289802,5.49,2.17
1729617488.9301562,5.48,2.11
1729617489.0289867,5.51,2.04
1729617489.1293468,5.57,1.98
1729617489.2292047,5.68,1.93
1729617489.3395448,5.82,1.92
1729617489.4390004,5.96,1.93
