Timestamp,Pitch,Roll
1729617594.8302276,5.96,2.35
1729617594.9276483,5.71,2.33
1729617595.0272195,5.47,2.32
1729617595.137002,5.29,2.31
1729617595.233131,5.17,2.33
1729617595.3272629,5.15,2.37
1729617595.4270124,5.23,2.44
1729617595.5322685,5.39,2.52
1729617595.6337435,5.6,2.61
1729617595.7301996,5.84,2.69
1729617595.8269641,6.08,2.75
1729617595.9306889,6.29,2.77
1729617596.0389345,6.44,2.75
1729617596.131103,6.5,2.69
1729617596.227633,6.45,2.61
1729617596.3307784,6.3,2.51
1729617596.4376745,6.06,2.4
1729617596.5329475,5.8,2.31
1729617596.626538,5.55,2.23
1729617596.7270317,5.35,2.16
1729617596.8379982,5.22,2.1
1729617596.928031,5.16,2.06
1729617597.0270433,5.18,2.05
1729617597.1270819,5.25,2.06
1729617597.2270792,5.37,2.1
1729617597.3308861,5.52,2.18
1729617597.4272592,5.67,2.28
1729617597.5273135,5.81,2.41
1729617597.630261,5.95,2.55
1729617597.7369988,6.07,2.68
1729617597.832076,6.17,2.78
1729617597.9276712,6.23,2.82
1729617598.0276608,6.25,2.79
1729617598.1320808,6.21,2.68
1729617598.2338161,6.12,2.53
1729617598.326793,5.98,2.36
1729617598.4276476,5.81,2.21
1729617598.5405846,5.62,2.08
1729617598.6312716,5.46,1.96
1729617598.729502,5.36,1.88
1729617598.827421,5.32,1.83
1729617598.927199,5.37,1.84
1729617599.0275323,5.48,1.91
1729617599.1288126,5.64,2.02
1729617599.2270718,5.8,2.15
1729617599.3273628,5.98,2.29
1729617599.4297378,6.14,2.4
1729617599.5349004,6.24,2.48
1729617599.6278653,6.27,2.51
1729617599.727143,6.19,2.46
1729617599.8390162,5.99,2.33
1729617599.9305837,5.71,2.14
1729617600.0298796,5.37,1.89
1729617600.1279116,5.0,1.62
1729617600.2267962,4.65,1.35
1729617600.3381555,4.35,1.13
1729617600.427513,4.12,0.97
1729617600.5272949,3.98,0.89
1729617600.627613,3.93,0.89
1729617600.7315435,3.97,0.94
1729617600.8362346,4.07,1.04
1729617600.9270275,4.2,1.14
1729617601.0279508,4.32,1.22
1729617601.1426113,4.42,1.27
1729617601.233585,4.45,1.27
1729617601.3273113,4.42,1.23
1729617601.4272442,4.33,1.15
1729617601.5415835,4.18,1.03
1729617601.640382,4.0,0.89
1729617601.7327342,3.78,0.72
1729617601.8272543,3.55,0.53
1729617601.9285815,3.32,0.33
1729617602.0378058,3.1,0.16
1729617602.129387,2.9,0.03
1729617602.227285,2.75,-0.04
1729617602.3275,2.63,-0.04
1729617602.4382386,2.57,0.02
1729617602.5381513,2.55,0.12
1729617602.631593,2.56,0.23
1729617602.72688,2.58,0.31
1729617602.8383663,2.59,0.35
1729617602.9336326,2.58,0.35
1729617603.027928,2.55,0.3
1729617603.127193,2.48,0.22
1729617603.2267466,2.38,0.09
1729617603.3380046,2.25,-0.08
1729617603.4269643,2.11,-0.27
1729617603.5272112,1.94,-0.49
1729617603.6301603,1.78,-0.71
1729617603.741779,1.62,-0.91
1729617603.833818,1.48,-1.06
1729617603.9261642,1.37,-1.16
1729617604.0276039,1.28,-1.2
1729617604.1322489,1.21,-1.2
1729617604.2357938,1.16,-1.16
1729617604.327001,1.11,-1.1
1729617604.4276443,1.07,-1.02
1729617604.5287085,1.02,-0.93
1729617604.63987,0.97,-0.85
1729617604.7311606,0.9,-0.78
1729617604.8273323,0.82,-0.76
1729617604.928354,0.72,-0.8
1729617605.0378892,0.6,-0.9
1729617605.1279635,0.47,-1.07
1729617605.2276504,0.35,-1.3
1729617605.3271515,0.22,-1.56
1729617605.4282565,0.11,-1.83
1729617605.5340412,0.0,-2.08
1729617605.6276817,-0.1,-2.29
1729617605.727177,-0.18,-2.44
1729617605.8422112,-0.25,-2.52
1729617605.9398947,-0.28,-2.52
1729617606.031598,-0.29,-2.46
1729617606.127107,-0.26,-2.33
1729617606.2276585,-0.21,-2.17
1729617606.3339608,-0.12,-2.0
1729617606.4291854,-0.01,-1.84
1729617606.5270538,0.11,-1.73
1729617606.639654,0.24,-1.69
1729617606.7367222,0.37,-1.74
1729617606.8369243,0.46,-1.87
1729617606.927205,0.5,-2.1
1729617607.026681,0.49,-2.38
1729617607.1361513,0.4,-2.69
1729617607.2306125,0.24,-2.99
1729617607.3273833,0.04,-3.25
1729617607.4283268,-0.2,-3.44
1729617607.5270581,-0.43,-3.56
1729617607.6394377,-0.62,-3.59
1729617607.7272332,-0.74,-3.55
1729617607.826652,-0.79,-3.43
1729617607.926989,-0.73,-3.26
1729617608.032471,-0.59,-3.08
1729617608.1268253,-0.37,-2.9
1729617608.2278368,-0.09,-2.78
1729617608.327136,0.22,-2.74
1729617608.4328542,0.49,-2.78
1729617608.5319357,0.71,-2.92
1729617608.6275656,0.85,-3.13
1729617608.7268767,0.88,-3.41
1729617608.8278909,0.81,-3.71
1729617608.9393525,0.65,-4.01
1729617609.0280538,0.42,-4.28
1729617609.127563,0.15,-4.48
1729617609.2274601,-0.12,-4.62
1729617609.3305907,-0.38,-4.69
1729617609.4295511,-0.6,-4.7
1729617609.5266483,-0.75,-4.65
1729617609.626896,-0.83,-4.57
1729617609.7408285,-0.84,-4.47
1729617609.8300364,-0.78,-4.37
1729617609.9272194,-0.66,-4.28
1729617610.0269184,-0.48,-4.23
1729617610.1304102,-0.24,-4.19
1729617610.235772,0.05,-4.18
1729617610.3280072,0.36,-4.18
1729617610.4297209,0.65,-4.21
1729617610.527058,0.89,-4.25
1729617610.6399796,1.05,-4.3
1729617610.726802,1.09,-4.35
1729617610.8275623,1.01,-4.39
1729617610.92669,0.81,-4.42
1729617611.0376265,0.5,-4.45
1729617611.1299155,0.13,-4.47
1729617611.227254,-0.29,-4.48
1729617611.3265545,-0.7,-4.48
1729617611.4349577,-1.07,-4.45
1729617611.5291784,-1.32,-4.41
1729617611.6328113,-1.41,-4.35
1729617611.7275498,-1.37,-4.29
1729617611.8267028,-1.2,-4.23
1729617611.936129,-0.92,-4.17
1729617612.0272532,-0.56,-4.1
1729617612.1265056,-0.16,-4.04
1729617612.2268784,0.25,-3.98
1729617612.3399045,0.62,-3.93
1729617612.4291067,0.94,-3.91
1729617612.5272076,1.18,-3.94
1729617612.627302,1.29,-4.01
1729617612.726697,1.28,-4.1
1729617612.8387845,1.16,-4.22
1729617612.926741,0.94,-4.34
1729617613.0275955,0.64,-4.48
1729617613.1387002,0.31,-4.61
1729617613.2338712,-0.05,-4.72
1729617613.3280225,-0.4,-4.79
1729617613.4280288,-0.72,-4.79
1729617613.5264766,-0.99,-4.72
1729617613.6355972,-1.15,-4.6
1729617613.7315087,-1.17,-4.46
1729617613.8273482,-1.07,-4.32
1729617613.926926,-0.86,-4.21
1729617614.0274057,-0.56,-4.15
1729617614.1362154,-0.2,-4.11
1729617614.2276618,0.18,-4.09
1729617614.3269818,0.52,-4.07
1729617614.4351604,0.79,-4.04
1729617614.5382876,0.97,-4.0
1729617614.6282966,1.05,-3.98
1729617614.7272034,1.02,-4.0
1729617614.8273914,0.91,-4.09
1729617614.9396534,0.73,-4.22
1729617615.031221,0.48,-4.41
1729617615.127057,0.2,-4.6
1729617615.2273693,-0.1,-4.77
1729617615.3295057,-0.4,-4.89
1729617615.4285405,-0.63,-4.95
1729617615.5269392,-0.79,-4.94
1729617615.6271875,-0.87,-4.86
1729617615.7303994,-0.83,-4.75
1729617615.827375,-0.7,-4.61
1729617615.9273677,-0.48,-4.47
1729617616.0273306,-0.2,-4.32
1729617616.1264565,0.13,-4.19
1729617616.2309985,0.46,-4.1
1729617616.3273852,0.76,-4.04
1729617616.4275115,0.97,-4.03
1729617616.5276837,1.07,-4.07
1729617616.6360016,1.07,-4.16
1729617616.7371886,0.96,-4.28
1729617616.8282378,0.77,-4.42
1729617616.9273562,0.51,-4.57
1729617617.0293086,0.2,-4.71
1729617617.1358488,-0.14,-4.82
1729617617.2293127,-0.46,-4.9
1729617617.327342,-0.74,-4.92
1729617617.427471,-0.96,-4.89
1729617617.5400767,-1.07,-4.81
1729617617.6271179,-1.07,-4.71
1729617617.726792,-0.98,-4.59
1729617617.8265493,-0.81,-4.48
1729617617.9344716,-0.59,-4.38
1729617618.033642,-0.33,-4.31
1729617618.131673,-0.05,-4.28
1729617618.226922,0.23,-4.27
1729617618.3270798,0.5,-4.31
1729617618.4367223,0.73,-4.37
1729617618.5285213,0.88,-4.46
1729617618.6272674,0.92,-4.55
1729617618.7271352,0.89,-4.65
1729617618.8362987,0.78,-4.73
1729617618.9325607,0.61,-4.78
1729617619.0263743,0.39,-4.81
1729617619.126367,0.13,-4.8
1729617619.2430515,-0.15,-4.76
1729617619.3309603,-0.43,-4.69
1729617619.426502,-0.67,-4.61
1729617619.5273275,-0.84,-4.53
1729617619.627655,-0.91,-4.46
1729617619.7285407,-0.9,-4.41
1729617619.826856,-0.81,-4.39
1729617619.9266577,-0.63,-4.38
1729617620.026635,-0.4,-4.4
1729617620.1331003,-0.13,-4.42
1729617620.227806,0.17,-4.46
1729617620.3265803,0.45,-4.52
1729617620.4268038,0.68,-4.58
1729617620.5411048,0.85,-4.64
1729617620.6323333,0.91,-4.7
1729617620.7272172,0.78,-4.72
1729617620.8273392,0.49,-4.66
1729617620.9404602,0.06,-4.51
1729617621.027608,-0.46,-4.27
1729617621.1301522,-0.98,-4.0
1729617621.2272758,-1.44,-3.72
1729617621.3264604,-1.78,-3.48
1729617621.4343853,-1.95,-3.31
1729617621.5267794,-1.94,-3.22
1729617621.626624,-1.75,-3.18
1729617621.726863,-1.42,-3.21
1729617621.8410134,-0.97,-3.3
1729617621.9323537,-0.46,-3.43
1729617622.027964,0.07,-3.59
1729617622.126645,0.54,-3.77
1729617622.2338054,0.93,-3.94
1729617622.334124,1.21,-4.08
1729617622.4270902,1.35,-4.2
1729617622.5267277,1.33,-4.27
1729617622.6273196,1.21,-4.33
1729617622.7372928,0.99,-4.36
1729617622.8285666,0.71,-4.38
1729617622.9263637,0.38,-4.4
1729617623.0272527,0.03,-4.43
1729617623.1324458,-0.28,-4.45
1729617623.2334385,-0.52,-4.45
1729617623.3266847,-0.66,-4.44
1729617623.4266906,-0.72,-4.41
1729617623.5324383,-0.67,-4.36
1729617623.6286707,-0.56,-4.31
1729617623.7292295,-0.38,-4.28
1729617623.8270879,-0.17,-4.25
1729617623.9351,0.07,-4.24
1729617624.0323837,0.31,-4.25
1729617624.1300602,0.53,-4.27
1729617624.227124,0.72,-4.29
1729617624.3263764,0.85,-4.31
1729617624.426805,0.92,-4.32
1729617624.5327675,0.92,-4.31
1729617624.6284819,0.86,-4.29
1729617624.726858,0.78,-4.25
1729617624.8308253,0.69,-4.2
1729617624.9289398,0.61,-4.14
1729617625.0269165,0.54,-4.06
1729617625.1267433,0.51,-3.98
1729617625.23661,0.53,-3.89
1729617625.3345566,0.62,-3.81
1729617625.4310765,0.77,-3.74
1729617625.526596,0.98,-3.68
1729617625.626855,1.23,-3.62
1729617625.7337096,1.5,-3.56
1729617625.8265285,1.78,-3.5
1729617625.9288955,2.02,-3.43
1729617626.0270464,2.22,-3.36
1729617626.1361904,2.35,-3.3
