Timestamp,Pitch,Roll
1729609998.5927923,10.19,1.69
1729609998.685972,10.17,1.69
1729609998.7861824,10.13,1.67
1729609998.9011526,10.08,1.64
1729609998.993249,10.05,1.61
1729609999.0855427,10.02,1.58
1729609999.1858397,10.01,1.57
1729609999.2866948,10.0,1.58
1729609999.3969195,10.0,1.6
1729609999.488304,10.02,1.64
1729609999.5860233,10.04,1.67
1729609999.6863482,10.08,1.7
1729609999.7880402,10.13,1.73
1729609999.8888495,10.18,1.75
1729609999.986249,10.24,1.76
1729610000.0868342,10.29,1.75
1729610000.1915276,10.34,1.74
1729610000.293197,10.37,1.71
1729610000.3867648,10.38,1.66
1729610000.4913633,10.38,1.6
1729610000.593213,10.36,1.53
1729610000.6902928,10.32,1.46
1729610000.7871356,10.26,1.4
1729610000.887269,10.2,1.35
1729610000.9862924,10.13,1.33
1729610001.096485,10.06,1.34
1729610001.1865041,10.01,1.38
1729610001.2873523,9.98,1.44
1729610001.3869805,9.97,1.51
1729610001.5015457,9.99,1.58
1729610001.587783,10.03,1.64
1729610001.6866724,10.09,1.69
1729610001.7875924,10.16,1.73
1729610001.9024625,10.22,1.75
1729610001.992956,10.27,1.77
1729610002.0881467,10.28,1.77
1729610002.186354,10.27,1.76
1729610002.2859614,10.24,1.75
1729610002.3930938,10.2,1.72
1729610002.4871855,10.15,1.68
1729610002.5862758,10.11,1.65
1729610002.6868086,10.08,1.62
1729610002.7907114,10.05,1.6
1729610002.890694,10.03,1.6
1729610002.9861135,10.03,1.61
1729610003.086717,10.03,1.63
1729610003.1969607,10.05,1.65
1729610003.2772753,10.07,1.66
1729610003.3860939,10.09,1.67
1729610003.4874332,10.11,1.67
1729610003.5879598,10.13,1.66
1729610003.6894534,10.15,1.64
1729610003.7917037,10.17,1.61
1729610003.886536,10.18,1.58
1729610003.9876254,10.18,1.54
1729610004.0901349,10.18,1.51
1729610004.1864157,10.17,1.48
1729610004.2862897,10.15,1.46
1729610004.3868723,10.11,1.44
1729610004.4961812,10.07,1.42
1729610004.591599,10.01,1.41
1729610004.6865506,9.96,1.41
1729610004.7865214,9.92,1.42
1729610004.8977058,9.89,1.45
1729610004.989662,9.87,1.5
1729610005.0868173,9.88,1.56
1729610005.1861184,9.89,1.61
1729610005.286987,9.92,1.65
1729610005.4046645,9.95,1.67
1729610005.4874547,9.99,1.69
1729610005.5866957,10.0,1.69
1729610005.6873198,9.99,1.7
1729610005.7909467,9.93,1.7
1729610005.8956246,9.83,1.69
1729610005.9863296,9.68,1.68
1729610006.086334,9.49,1.65
1729610006.1863797,9.3,1.61
1729610006.2931347,9.1,1.56
1729610006.3889682,8.92,1.5
1729610006.4866571,8.77,1.45
1729610006.5863757,8.64,1.4
1729610006.698138,8.55,1.37
1729610006.7877667,8.49,1.37
1729610006.8866901,8.47,1.38
1729610006.9878004,8.46,1.42
1729610007.0987918,8.46,1.47
1729610007.1868403,8.45,1.53
1729610007.286342,8.42,1.61
1729610007.3864164,8.37,1.67
1729610007.5024335,8.29,1.71
1729610007.5867693,8.17,1.72
1729610007.687506,8.03,1.71
1729610007.7871823,7.86,1.67
1729610007.903101,7.69,1.62
1729610007.9895456,7.51,1.55
1729610008.0867534,7.35,1.5
1729610008.1892357,7.21,1.47
1729610008.2869008,7.11,1.46
1729610008.389341,7.03,1.47
1729610008.4861252,6.98,1.49
1729610008.5883963,6.95,1.53
1729610008.686709,6.93,1.56
1729610008.7867267,6.92,1.59
1729610008.8880677,6.89,1.61
1729610008.987929,6.85,1.63
1729610009.087003,6.78,1.63
1729610009.2008686,6.69,1.63
1729610009.2886264,6.58,1.63
1729610009.3880773,6.45,1.61
1729610009.486295,6.29,1.59
1729610009.5863886,6.13,1.56
1729610009.6975586,5.97,1.52
1729610009.7879615,5.82,1.49
1729610009.8854856,5.68,1.46
1729610009.9860659,5.56,1.44
1729610010.089271,5.48,1.44
1729610010.1859655,5.41,1.44
1729610010.2877347,5.36,1.46
1729610010.3861995,5.32,1.48
1729610010.5011885,5.28,1.5
1729610010.5936568,5.23,1.51
1729610010.6864038,5.18,1.52
1729610010.7869155,5.13,1.53
1729610010.8910599,5.06,1.53
1729610010.9936638,4.98,1.52
1729610011.0917273,4.88,1.51
1729610011.1863074,4.77,1.49
1729610011.2863588,4.65,1.48
1729610011.398642,4.53,1.47
1729610011.4935753,4.4,1.46
1729610011.5866141,4.28,1.46
1729610011.6866357,4.17,1.46
1729610011.786618,4.07,1.48
1729610011.9042883,3.97,1.5
1729610011.9799788,3.9,1.53
1729610012.086396,3.82,1.58
1729610012.1870406,3.75,1.64
1729610012.2904391,3.69,1.69
1729610012.3893683,3.63,1.72
1729610012.4858763,3.56,1.74
1729610012.5869544,3.48,1.74
1729610012.6939554,3.39,1.71
1729610012.785817,3.29,1.67
1729610012.8857687,3.18,1.61
1729610012.9857183,3.06,1.56
1729610013.1017451,2.94,1.52
1729610013.1952786,2.83,1.49
1729610013.2860441,2.72,1.47
1729610013.3862202,2.62,1.46
1729610013.4867754,2.53,1.47
1729610013.5861948,2.45,1.49
1729610013.6912525,2.37,1.53
1729610013.7855573,2.29,1.56
1729610013.8866215,2.21,1.6
1729610013.989703,2.13,1.64
1729610014.0911143,2.05,1.67
1729610014.1863844,1.96,1.68
1729610014.2863944,1.86,1.69
1729610014.3914814,1.76,1.68
1729610014.4946642,1.65,1.66
1729610014.585974,1.54,1.62
1729610014.6865509,1.43,1.58
1729610014.7868464,1.33,1.54
1729610014.8904774,1.24,1.49
