Timestamp,Pitch,Roll
1729616332.452781,3.91,2.76
1729616332.53566,3.98,2.82
1729616332.5404105,4.06,2.87
1729616332.590248,4.16,2.9
1729616332.649789,4.27,2.92
1729616332.690603,4.38,2.92
1729616332.7409356,4.5,2.92
1729616332.7919126,4.61,2.9
1729616332.8419816,4.72,2.87
1729616332.8995326,4.81,2.83
1729616332.943221,4.88,2.78
1729616332.9948413,4.93,2.72
1729616333.040871,4.95,2.65
1729616333.0909834,4.95,2.58
1729616333.1405628,4.93,2.5
1729616333.1902764,4.89,2.41
1729616333.2449884,4.83,2.33
1729616333.291301,4.76,2.25
1729616333.3403769,4.67,2.18
1729616333.3910208,4.59,2.12
1729616333.454094,4.5,2.07
1729616333.4900544,4.42,2.04
1729616333.5446255,4.33,2.03
1729616333.5908957,4.24,2.03
1729616333.6425724,4.16,2.04
1729616333.690669,4.08,2.07
1729616333.7399604,4.01,2.1
1729616333.790734,3.94,2.13
1729616333.840109,3.89,2.17
1729616333.8907974,3.84,2.2
1729616333.9442034,3.81,2.23
1729616333.990496,3.8,2.25
1729616334.05023,3.8,2.28
1729616334.092387,3.83,2.3
1729616334.1410356,3.87,2.33
1729616334.1998806,3.93,2.36
1729616334.2407122,4.01,2.39
1729616334.2902937,4.1,2.43
1729616334.349165,4.21,2.47
1729616334.39023,4.31,2.52
1729616334.4516377,4.43,2.57
1729616334.4910436,4.53,2.62
1729616334.5404708,4.63,2.68
1729616334.5975337,4.72,2.73
1729616334.6403656,4.79,2.77
1729616334.6904302,4.84,2.81
1729616334.740628,4.88,2.85
1729616334.7902474,4.9,2.87
1729616334.850303,4.91,2.89
1729616334.8904395,4.9,2.89
1729616334.9477556,4.88,2.89
1729616334.9904556,4.84,2.88
1729616335.0405307,4.8,2.87
1729616335.1074154,4.74,2.85
1729616335.1404388,4.67,2.82
1729616335.1898873,4.6,2.79
1729616335.2454393,4.52,2.75
1729616335.2924373,4.44,2.7
1729616335.3395903,4.36,2.64
1729616335.3908606,4.28,2.57
1729616335.4533398,4.21,2.49
1729616335.4931855,4.14,2.41
1729616335.5397308,4.08,2.32
1729616335.5938542,4.03,2.23
1729616335.649087,4.0,2.15
1729616335.6901796,3.98,2.08
1729616335.7455208,3.97,2.01
1729616335.7900128,3.98,1.96
