Timestamp,Pitch,Roll
1729608575.5021975,16.25,-1.51
1729608575.6012788,15.97,-1.9
1729608575.7144163,15.1,-1.87
1729608575.801627,14.25,-1.58
1729608575.901525,12.78,-1.04
1729608576.0016625,10.24,-0.94
1729608576.1072562,7.57,-1.4
1729608576.2042642,6.73,-2.22
1729608576.3045378,7.63,-2.97
1729608576.4016852,8.03,-3.25
1729608576.5013967,7.22,-2.8
1729608576.6119175,5.72,-2.37
1729608576.7011955,4.01,-2.42
1729608576.8020232,2.59,-2.93
1729608576.9121218,1.88,-3.28
1729608577.014694,1.54,-2.9
1729608577.1047475,1.22,-2.28
1729608577.2015636,0.66,-2.32
1729608577.301693,0.01,-2.99
1729608577.4141707,-0.4,-3.11
1729608577.5036423,-0.56,-2.31
1729608577.6061733,-0.62,-1.86
1729608577.701169,-0.99,-2.03
1729608577.8012362,-1.92,-1.91
1729608577.9030507,-2.87,-1.73
1729608578.001789,-3.66,-1.85
1729608578.100953,-3.29,-1.85
1729608578.2046618,-2.0,-1.67
1729608578.3013332,-0.68,-1.77
1729608578.4010231,0.38,-1.82
1729608578.501552,0.28,-1.75
1729608578.6011076,-1.16,-2.11
1729608578.7107706,-3.18,-2.67
1729608578.8040395,-4.66,-3.01
1729608578.905227,-5.24,-2.67
1729608579.020385,-4.63,-2.28
1729608579.1220005,-2.88,-2.33
1729608579.2217863,-0.66,-2.46
1729608579.3178885,1.39,-2.26
1729608579.4132671,2.88,-1.94
1729608579.5055494,3.69,-1.67
1729608579.6105282,3.82,-1.25
1729608579.7018485,3.46,-1.08
1729608579.8012211,3.23,-1.35
1729608579.9039292,3.92,-1.31
1729608580.0152774,5.38,-1.06
1729608580.1070445,6.56,-1.02
1729608580.2016776,6.2,-1.0
1729608580.3015547,4.42,-1.0
1729608580.4089746,2.33,-1.09
1729608580.5079849,0.76,-1.25
1729608580.6018844,0.37,-1.47
1729608580.7012901,1.17,-2.09
1729608580.8021133,2.64,-3.07
1729608580.90862,4.19,-3.72
1729608581.0007813,5.6,-3.55
1729608581.101628,6.97,-2.84
1729608581.2015204,8.3,-2.09
1729608581.3115182,9.54,-1.54
1729608581.4069118,10.3,-1.08
1729608581.5014038,10.36,-1.02
1729608581.6010087,9.42,-1.0
1729608581.7002614,7.89,-1.0
1729608581.810343,6.38,-1.09
1729608581.9039137,5.29,-1.25
1729608582.0015817,4.79,-1.37
1729608582.115268,4.89,-1.39
1729608582.2067037,5.57,-1.28
1729608582.3041918,6.8,-0.98
1729608582.401872,8.39,-0.55
1729608582.501095,10.19,-0.03
1729608582.6171844,11.93,0.52
