Timestamp,Pitch,Roll
1729617218.8337498,5.64,2.43
1729617218.9337282,5.59,2.44
1729617219.0338855,5.55,2.46
1729617219.1497312,5.54,2.45
1729617219.2360454,5.54,2.43
1729617219.3343322,5.56,2.38
1729617219.433928,5.58,2.32
1729617219.5334806,5.63,2.29
1729617219.6405401,5.68,2.29
1729617219.7338037,5.74,2.31
1729617219.8341694,5.82,2.36
1729617219.9336243,5.91,2.41
1729617220.0461328,6.01,2.46
1729617220.1416843,6.13,2.5
1729617220.234269,6.26,2.53
1729617220.333447,6.37,2.55
1729617220.4444215,6.44,2.56
1729617220.5364242,6.43,2.57
1729617220.6338966,6.34,2.55
1729617220.7331204,6.21,2.5
1729617220.8359432,6.05,2.41
1729617220.9359987,5.9,2.32
1729617221.039178,5.77,2.26
1729617221.133761,5.67,2.25
1729617221.2339206,5.62,2.3
1729617221.3419824,5.64,2.38
1729617221.4346752,5.71,2.46
1729617221.5332115,5.83,2.49
1729617221.634045,5.96,2.48
1729617221.7340934,6.07,2.43
1729617221.843284,6.14,2.36
1729617221.9347944,6.18,2.3
1729617222.0347466,6.18,2.24
1729617222.1454673,6.16,2.2
1729617222.2427304,6.12,2.2
1729617222.3331213,6.04,2.22
1729617222.433695,5.93,2.26
1729617222.5331407,5.79,2.32
1729617222.644292,5.65,2.39
1729617222.7380912,5.5,2.45
1729617222.833237,5.37,2.49
1729617222.9334717,5.26,2.48
1729617223.0444155,5.18,2.43
1729617223.1358292,5.11,2.32
1729617223.2368066,5.05,2.15
1729617223.3339145,5.02,1.94
1729617223.433752,4.99,1.69
1729617223.5390203,4.96,1.45
1729617223.6367269,4.93,1.27
1729617223.7340007,4.88,1.18
1729617223.8339708,4.81,1.19
1729617223.9493823,4.74,1.28
1729617224.034133,4.65,1.41
1729617224.1339295,4.55,1.55
1729617224.2334988,4.42,1.66
1729617224.34289,4.26,1.75
1729617224.4386225,4.09,1.79
1729617224.5341418,3.94,1.78
1729617224.6339972,3.81,1.69
1729617224.733835,3.73,1.54
1729617224.8453407,3.67,1.33
1729617224.9349377,3.64,1.1
1729617225.0334394,3.62,0.88
1729617225.145216,3.6,0.71
1729617225.2420497,3.59,0.59
1729617225.3338742,3.59,0.54
1729617225.433407,3.59,0.53
1729617225.5338936,3.57,0.55
1729617225.6496046,3.52,0.58
1729617225.7422562,3.45,0.6
1729617225.8329828,3.37,0.62
1729617225.9334822,3.28,0.64
1729617226.0365498,3.19,0.65
1729617226.1421726,3.08,0.63
1729617226.2335417,2.97,0.56
1729617226.3342283,2.83,0.43
1729617226.436679,2.67,0.24
1729617226.5397048,2.51,0.0
1729617226.6394348,2.34,-0.23
1729617226.7342393,2.2,-0.42
1729617226.8338761,2.08,-0.55
1729617226.9383512,1.99,-0.6
1729617227.0332859,1.93,-0.61
1729617227.1332252,1.91,-0.58
1729617227.2337894,1.91,-0.53
1729617227.3427804,1.92,-0.47
1729617227.438038,1.93,-0.43
1729617227.533172,1.91,-0.41
1729617227.6339898,1.85,-0.42
1729617227.734373,1.75,-0.45
1729617227.8424065,1.6,-0.5
1729617227.9353304,1.42,-0.57
1729617228.033487,1.23,-0.65
1729617228.1332717,1.05,-0.73
1729617228.2471871,0.89,-0.83
1729617228.333944,0.75,-0.95
1729617228.4334655,0.63,-1.07
1729617228.533546,0.54,-1.19
1729617228.6475978,0.46,-1.31
1729617228.7330532,0.38,-1.4
1729617228.8337636,0.3,-1.45
1729617228.9341586,0.22,-1.46
1729617229.0362916,0.15,-1.45
1729617229.133712,0.09,-1.43
1729617229.2337334,0.03,-1.43
1729617229.3338187,-0.01,-1.45
1729617229.4333572,-0.06,-1.49
1729617229.5389051,-0.11,-1.55
1729617229.632816,-0.16,-1.62
1729617229.7332895,-0.23,-1.68
1729617229.8340223,-0.32,-1.74
1729617229.942051,-0.42,-1.79
1729617230.0341325,-0.54,-1.85
1729617230.1333354,-0.67,-1.94
1729617230.233158,-0.83,-2.04
1729617230.3342645,-0.99,-2.17
1729617230.434387,-1.15,-2.32
1729617230.5330079,-1.31,-2.46
1729617230.6334276,-1.44,-2.6
1729617230.742286,-1.55,-2.71
1729617230.8434086,-1.64,-2.8
1729617230.935036,-1.71,-2.85
1729617231.0333824,-1.77,-2.87
1729617231.133677,-1.81,-2.88
1729617231.2492664,-1.85,-2.87
1729617231.3410132,-1.9,-2.86
1729617231.4341376,-1.95,-2.85
1729617231.5333056,-2.02,-2.85
1729617231.642183,-2.1,-2.85
1729617231.7392542,-2.2,-2.86
1729617231.8330984,-2.32,-2.89
1729617231.9334393,-2.46,-2.94
1729617232.0336466,-2.61,-3.02
1729617232.143058,-2.78,-3.13
1729617232.237345,-2.95,-3.28
1729617232.3337154,-3.13,-3.44
1729617232.4334824,-3.29,-3.62
1729617232.5484755,-3.42,-3.78
1729617232.641087,-3.53,-3.91
1729617232.7327647,-3.6,-4.0
1729617232.8337758,-3.63,-4.04
1729617232.9425256,-3.64,-4.04
1729617233.0387197,-3.62,-4.0
1729617233.1333544,-3.59,-3.93
1729617233.233924,-3.57,-3.84
1729617233.3340626,-3.56,-3.76
1729617233.4434674,-3.59,-3.69
1729617233.5369377,-3.65,-3.66
1729617233.6333938,-3.75,-3.67
1729617233.7331042,-3.88,-3.74
1729617233.847345,-4.03,-3.86
1729617233.9389098,-4.17,-4.02
1729617234.0332265,-4.3,-4.2
1729617234.133166,-4.41,-4.37
1729617234.2454093,-4.49,-4.51
1729617234.3396134,-4.55,-4.59
1729617234.4337792,-4.57,-4.62
1729617234.5332992,-4.56,-4.61
1729617234.6341412,-4.51,-4.57
1729617234.7443306,-4.42,-4.52
1729617234.8327675,-4.29,-4.47
1729617234.9345465,-4.14,-4.41
1729617235.033188,-4.0,-4.34
1729617235.133373,-3.91,-4.27
1729617235.2415867,-3.86,-4.21
1729617235.3327682,-3.87,-4.16
1729617235.4335244,-3.93,-4.16
1729617235.5410786,-4.02,-4.19
1729617235.6395478,-4.15,-4.26
1729617235.7327404,-4.29,-4.34
1729617235.8337536,-4.42,-4.41
1729617235.9433308,-4.54,-4.46
1729617236.0411525,-4.6,-4.49
1729617236.1330495,-4.62,-4.51
1729617236.2343519,-4.58,-4.54
1729617236.3331444,-4.49,-4.57
1729617236.4364035,-4.39,-4.59
1729617236.5331814,-4.28,-4.61
1729617236.6338034,-4.19,-4.61
1729617236.7337356,-4.11,-4.58
1729617236.844181,-4.07,-4.53
1729617236.9365842,-4.04,-4.47
1729617237.0355003,-4.04,-4.4
1729617237.1345787,-4.06,-4.35
1729617237.2478633,-4.1,-4.3
1729617237.3342004,-4.17,-4.27
1729617237.4329329,-4.24,-4.24
1729617237.5332224,-4.31,-4.22
1729617237.6331217,-4.37,-4.21
1729617237.7417076,-4.41,-4.2
1729617237.8358996,-4.44,-4.22
1729617237.9332638,-4.45,-4.25
1729617238.0336514,-4.46,-4.29
1729617238.1360824,-4.45,-4.34
1729617238.2332215,-4.43,-4.39
1729617238.343133,-4.4,-4.42
1729617238.4337118,-4.35,-4.46
1729617238.5502565,-4.28,-4.49
1729617238.6347063,-4.2,-4.53
1729617238.7333603,-4.13,-4.55
1729617238.8332098,-4.07,-4.55
1729617238.9333274,-4.03,-4.53
1729617239.036569,-4.04,-4.48
1729617239.1334395,-4.08,-4.44
1729617239.2333243,-4.16,-4.4
1729617239.3343084,-4.26,-4.4
1729617239.4466064,-4.39,-4.42
1729617239.5354788,-4.52,-4.46
1729617239.633713,-4.62,-4.51
1729617239.7337239,-4.7,-4.56
1729617239.8489776,-4.74,-4.59
1729617239.940389,-4.75,-4.58
1729617240.0329802,-4.74,-4.56
1729617240.1359699,-4.74,-4.52
1729617240.238645,-4.74,-4.46
1729617240.336605,-4.75,-4.38
1729617240.4358423,-4.79,-4.3
1729617240.5336597,-4.84,-4.19
1729617240.6334007,-4.9,-4.1
1729617240.744212,-4.96,-4.04
1729617240.8339255,-4.99,-4.04
1729617240.9329677,-4.97,-4.11
1729617241.035165,-4.88,-4.22
1729617241.1404402,-4.71,-4.34
1729617241.2346494,-4.49,-4.44
1729617241.3333132,-4.23,-4.53
1729617241.4332628,-3.99,-4.58
1729617241.5435038,-3.78,-4.6
1729617241.6413505,-3.63,-4.59
1729617241.7332041,-3.54,-4.55
1729617241.8332648,-3.54,-4.49
1729617241.9333472,-3.62,-4.42
1729617242.0362453,-3.77,-4.34
1729617242.1349123,-3.98,-4.26
1729617242.2331622,-4.21,-4.18
1729617242.3328898,-4.45,-4.13
1729617242.4468458,-4.66,-4.1
1729617242.5415068,-4.83,-4.11
1729617242.6334844,-4.95,-4.15
1729617242.733219,-4.98,-4.21
1729617242.839908,-4.92,-4.28
1729617242.9326482,-4.79,-4.36
1729617243.033524,-4.59,-4.44
1729617243.1345003,-4.37,-4.52
1729617243.2364917,-4.16,-4.56
1729617243.346942,-3.97,-4.58
