Timestamp,Pitch,Roll
1729608443.403353,10.71,2.02
1729608443.5031507,10.61,2.01
1729608443.6128948,10.55,1.92
1729608443.7157805,10.53,1.79
1729608443.819981,10.58,1.64
1729608443.9131496,10.67,1.49
1729608444.0133579,10.77,1.37
1729608444.1128466,10.86,1.27
1729608444.2278275,10.91,1.2
1729608444.302926,10.94,1.16
1729608444.4183202,10.94,1.14
1729608444.5138054,10.91,1.14
1729608444.6249924,10.85,1.16
1729608444.7173946,10.75,1.24
1729608444.8131747,10.63,1.38
1729608444.9135094,10.5,1.57
1729608445.0133166,10.37,1.78
1729608445.119903,10.28,1.94
1729608445.206551,10.24,2.02
1729608445.3138738,10.26,2.03
1729608445.4138908,10.34,1.99
1729608445.5296412,10.46,1.95
1729608445.6203618,10.61,1.88
1729608445.7135363,10.78,1.77
1729608445.8138497,10.93,1.6
1729608445.9285078,11.04,1.39
1729608446.0178988,11.09,1.2
1729608446.113377,11.08,1.07
1729608446.2136464,11.01,1.02
1729608446.3131936,10.9,1.05
1729608446.4171946,10.76,1.12
1729608446.516971,10.62,1.24
1729608446.6132982,10.52,1.39
1729608446.7137794,10.47,1.55
1729608446.8032894,10.49,1.7
1729608446.9046326,10.56,1.84
1729608447.01407,10.66,1.95
1729608447.106606,10.78,2.03
1729608447.2283008,10.9,2.07
1729608447.3130262,11.01,2.05
1729608447.4132404,11.1,1.98
1729608447.5132706,11.16,1.91
1729608447.620879,11.2,1.86
1729608447.7220037,11.19,1.83
1729608447.8176994,11.14,1.78
1729608447.9033175,11.05,1.67
1729608448.0034993,10.94,1.48
1729608448.119584,10.82,1.24
1729608448.2133768,10.76,1.02
1729608448.3132596,10.73,0.86
1729608448.4132328,10.73,0.78
1729608448.5266855,10.76,0.77
1729608448.6185267,10.81,0.81
1729608448.712591,10.88,0.92
1729608448.8134277,10.96,1.1
1729608448.903266,11.03,1.33
1729608449.0035055,11.07,1.62
1729608449.1089356,11.08,1.92
1729608449.2131336,11.06,2.17
1729608449.3032498,11.02,2.29
1729608449.4155912,10.92,2.31
1729608449.5180588,10.79,2.21
1729608449.6138632,10.65,2.07
1729608449.7129042,10.54,1.91
1729608449.8206167,10.5,1.74
1729608449.9039307,10.53,1.57
1729608450.015876,10.61,1.43
1729608450.1136281,10.73,1.33
1729608450.2236633,10.85,1.3
1729608450.31626,10.96,1.31
1729608450.4133759,11.05,1.33
1729608450.513411,11.11,1.34
1729608450.61339,11.15,1.33
1729608450.723167,11.13,1.3
1729608450.807556,11.06,1.28
1729608450.913256,10.94,1.28
1729608451.0134876,10.78,1.32
1729608451.1186612,10.59,1.39
1729608451.2135794,10.37,1.46
1729608451.3139172,10.16,1.55
1729608451.4138522,9.99,1.64
1729608451.516939,9.85,1.79
1729608451.6171234,9.77,1.98
1729608451.7066798,9.75,2.21
1729608451.8035438,9.77,2.48
1729608451.9247067,9.84,2.73
1729608452.0253918,9.91,2.85
1729608452.117891,9.94,2.82
1729608452.2133183,9.95,2.65
1729608452.3134427,9.93,2.41
1729608452.4254458,9.89,2.19
1729608452.5184436,9.82,2.03
1729608452.6131876,9.69,1.96
1729608452.714025,9.52,2.03
1729608452.8225098,9.32,2.21
1729608452.9173775,9.09,2.43
1729608453.0106714,8.88,2.59
1729608453.1043875,8.68,2.68
1729608453.203786,8.52,2.68
1729608453.3167615,8.41,2.63
1729608453.4180834,8.37,2.6
1729608453.5142438,8.37,2.69
1729608453.6135466,8.4,2.92
1729608453.7280643,8.45,3.25
1729608453.8093383,8.49,3.57
1729608453.913219,8.5,3.8
1729608454.0037901,8.47,3.86
1729608454.1033437,8.39,3.78
1729608454.2043855,8.27,3.65
1729608454.3165383,8.1,3.61
1729608454.402986,7.91,3.71
1729608454.5066948,7.7,3.93
1729608454.6035862,7.48,4.1
1729608454.703646,7.27,4.13
1729608454.8140013,7.06,3.95
1729608454.9127367,6.9,3.67
1729608455.025368,6.79,3.41
1729608455.118316,6.75,3.27
1729608455.21299,6.77,3.32
1729608455.3136654,6.82,3.51
1729608455.4256065,6.88,3.79
1729608455.5065022,6.93,4.05
1729608455.6167033,6.95,4.28
1729608455.7132852,6.94,4.45
1729608455.8162923,6.89,4.62
1729608455.9144492,6.79,4.83
1729608456.0140326,6.62,5.07
1729608456.1137428,6.41,5.29
1729608456.2136118,6.17,5.43
1729608456.321862,5.92,5.47
1729608456.4045281,5.7,5.41
1729608456.5073543,5.5,5.27
1729608456.6133325,5.32,5.06
1729608456.7227428,5.19,4.82
1729608456.814118,5.1,4.61
1729608456.9138753,5.06,4.45
1729608457.0130699,5.08,4.43
1729608457.1132636,5.12,4.51
1729608457.2184255,5.18,4.69
1729608457.3164968,5.23,4.92
1729608457.4143083,5.27,5.22
1729608457.5031137,5.28,5.52
1729608457.6223323,5.25,5.86
1729608457.7204978,5.18,6.14
1729608457.8130176,5.05,6.35
1729608457.9051971,4.86,6.44
1729608458.0209074,4.58,6.44
1729608458.1137543,4.29,6.39
1729608458.2139864,4.0,6.35
1729608458.3129146,3.76,6.3
1729608458.4212313,3.56,6.21
1729608458.5225492,3.42,6.05
1729608458.6162217,3.33,5.87
1729608458.7131128,3.27,5.72
1729608458.8033345,3.26,5.66
1729608458.9040189,3.29,5.7
1729608459.0140376,3.34,5.83
1729608459.112914,3.38,6.02
1729608459.2219665,3.4,6.23
