Timestamp,Pitch,Roll
1729617160.0522933,6.21,2.58
1729617160.140738,6.17,2.47
1729617160.2353244,6.1,2.32
1729617160.3344018,6.05,2.15
1729617160.4343324,6.0,1.99
1729617160.5342195,5.98,1.88
1729617160.6372976,5.97,1.83
1729617160.739325,5.97,1.85
1729617160.8393729,5.96,1.93
1729617160.9353404,5.92,2.05
1729617161.0392356,5.84,2.18
1729617161.134544,5.74,2.3
1729617161.2342803,5.62,2.39
1729617161.3352191,5.51,2.45
1729617161.439914,5.44,2.46
1729617161.5367396,5.42,2.46
1729617161.6344981,5.47,2.44
1729617161.7345846,5.59,2.45
1729617161.8356936,5.76,2.46
1729617161.9370143,5.96,2.48
1729617162.039019,6.16,2.49
1729617162.134367,6.3,2.48
1729617162.2475123,6.37,2.45
1729617162.3496082,6.35,2.4
1729617162.4352038,6.24,2.33
1729617162.5347574,6.06,2.26
1729617162.635075,5.84,2.2
1729617162.7338839,5.61,2.15
1729617162.8372893,5.42,2.12
1729617162.9355373,5.3,2.12
1729617163.0345714,5.28,2.14
1729617163.1394641,5.36,2.19
1729617163.2457063,5.52,2.25
1729617163.3399155,5.75,2.31
1729617163.4346373,5.99,2.36
1729617163.5350811,6.21,2.4
1729617163.6483016,6.38,2.43
1729617163.7347329,6.48,2.45
1729617163.8342857,6.49,2.46
1729617163.934398,6.39,2.46
1729617164.0401516,6.2,2.44
1729617164.1425955,5.92,2.4
1729617164.2345865,5.59,2.34
1729617164.3348854,5.26,2.27
1729617164.434421,4.98,2.2
1729617164.5447426,4.8,2.17
1729617164.634184,4.75,2.18
1729617164.734876,4.81,2.23
1729617164.8538692,5.0,2.31
1729617164.9470918,5.27,2.38
1729617165.0347013,5.58,2.43
1729617165.1348405,5.89,2.46
1729617165.2345383,6.14,2.45
1729617165.3527217,6.31,2.44
1729617165.4446318,6.38,2.43
1729617165.552349,6.35,2.42
1729617165.6582267,6.24,2.41
1729617165.7498825,6.05,2.38
1729617165.8446167,5.82,2.35
1729617165.944219,5.55,2.31
1729617166.044533,5.29,2.29
1729617166.1457055,5.09,2.31
1729617166.2448554,4.98,2.36
1729617166.3445013,4.96,2.45
1729617166.4456809,5.04,2.58
1729617166.5461512,5.18,2.74
1729617166.6502395,5.34,2.91
1729617166.7430701,5.5,3.09
1729617166.8444126,5.64,3.25
1729617166.9588377,5.72,3.38
1729617167.044063,5.72,3.47
1729617167.1436899,5.63,3.51
1729617167.2449033,5.45,3.52
1729617167.3535893,5.18,3.5
1729617167.4494123,4.84,3.45
1729617167.545198,4.49,3.41
1729617167.6447403,4.15,3.37
1729617167.7443762,3.85,3.35
1729617167.853957,3.62,3.36
1729617167.944739,3.48,3.39
1729617168.0445585,3.42,3.45
1729617168.1450367,3.45,3.54
1729617168.250285,3.53,3.67
1729617168.348047,3.65,3.83
1729617168.444449,3.77,4.01
1729617168.5444064,3.88,4.2
1729617168.64944,3.95,4.38
1729617168.7519112,3.95,4.52
1729617168.8441105,3.89,4.62
1729617168.9443831,3.75,4.67
1729617169.0446482,3.54,4.67
1729617169.1439197,3.26,4.65
1729617169.244635,2.93,4.62
1729617169.344431,2.61,4.59
1729617169.4448938,2.32,4.57
1729617169.5472982,2.11,4.57
1729617169.644381,1.98,4.58
1729617169.747221,1.94,4.6
1729617169.8448472,1.96,4.62
1729617169.9446325,2.02,4.66
1729617170.0467405,2.1,4.72
1729617170.1444452,2.17,4.82
1729617170.2444563,2.22,4.94
1729617170.345237,2.24,5.08
1729617170.4560804,2.22,5.22
1729617170.5459704,2.16,5.33
1729617170.6443217,2.03,5.43
1729617170.7449098,1.86,5.52
1729617170.8541486,1.64,5.6
1729617170.9445038,1.4,5.67
1729617171.0439224,1.15,5.74
1729617171.1445,0.91,5.78
1729617171.2509918,0.69,5.79
1729617171.352915,0.51,5.76
1729617171.4445374,0.38,5.71
1729617171.54455,0.32,5.65
1729617171.6594706,0.31,5.61
1729617171.7562723,0.37,5.62
1729617171.8494437,0.47,5.7
1729617171.9442277,0.57,5.82
1729617172.0442095,0.66,5.98
1729617172.1551716,0.68,6.16
1729617172.2445326,0.63,6.32
1729617172.3440502,0.5,6.44
1729617172.4452043,0.31,6.51
1729617172.5499508,0.05,6.55
1729617172.644467,-0.24,6.59
1729617172.7445104,-0.55,6.65
1729617172.8447418,-0.84,6.74
1729617172.9615238,-1.07,6.85
1729617173.0439591,-1.23,6.94
1729617173.1442816,-1.3,7.0
1729617173.2443967,-1.29,7.01
1729617173.3441875,-1.24,6.98
1729617173.4581325,-1.16,6.93
1729617173.5466058,-1.08,6.87
1729617173.6446426,-1.03,6.85
1729617173.744819,-1.02,6.86
1729617173.8557503,-1.07,6.94
1729617173.9531498,-1.17,7.06
1729617174.0444822,-1.32,7.21
1729617174.1440809,-1.51,7.35
1729617174.2591038,-1.73,7.46
1729617174.3454773,-1.95,7.54
1729617174.4444308,-2.15,7.6
1729617174.5480886,-2.33,7.64
1729617174.6543005,-2.48,7.67
1729617174.755511,-2.61,7.69
1729617174.8455322,-2.72,7.7
1729617174.9444842,-2.8,7.7
1729617175.0441911,-2.88,7.71
1729617175.147659,-2.94,7.74
1729617175.2445083,-3.01,7.79
1729617175.3448997,-3.06,7.86
1729617175.4443233,-3.11,7.95
1729617175.5536692,-3.16,8.06
1729617175.6474059,-3.2,8.18
