Timestamp,Pitch,Roll
1729608303.3154647,11.08,2.01
1729608303.4219127,10.93,1.97
1729608303.5157125,10.76,1.86
1729608303.6159437,10.6,1.72
1729608303.715347,10.44,1.56
1729608303.8302832,10.32,1.4
1729608303.9253347,10.25,1.24
1729608304.0172627,10.24,1.1
1729608304.115901,10.29,1.02
1729608304.216917,10.41,1.02
1729608304.3152702,10.56,1.08
1729608304.4165356,10.73,1.19
1729608304.5157309,10.88,1.33
1729608304.6156595,10.99,1.44
1729608304.7223554,11.04,1.5
1729608304.8225982,11.05,1.49
1729608304.916078,11.01,1.44
1729608305.0156906,10.95,1.37
1729608305.123459,10.88,1.26
1729608305.2214322,10.82,1.14
1729608305.3165727,10.76,1.03
1729608305.4153242,10.68,0.99
1729608305.517409,10.59,0.98
1729608305.6170921,10.49,1.01
1729608305.715868,10.42,1.09
1729608305.8162045,10.38,1.18
1729608305.9162261,10.4,1.23
1729608306.0247219,10.49,1.25
1729608306.1153286,10.64,1.29
1729608306.2159672,10.8,1.39
1729608306.3162286,10.93,1.51
1729608306.4288864,11.01,1.61
1729608306.5162303,11.04,1.64
1729608306.6155317,11.03,1.62
1729608306.7154245,11.01,1.58
1729608306.815711,10.95,1.57
1729608306.9281483,10.87,1.57
1729608307.0159662,10.74,1.55
1729608307.1160755,10.58,1.46
1729608307.2163603,10.42,1.33
1729608307.3274848,10.27,1.2
1729608307.4156191,10.17,1.13
1729608307.516151,10.14,1.14
1729608307.6161325,10.16,1.21
1729608307.7295196,10.23,1.31
1729608307.823624,10.33,1.41
1729608307.9156723,10.45,1.52
1729608308.0158603,10.57,1.65
1729608308.1303816,10.69,1.81
1729608308.2173848,10.79,1.95
1729608308.3194847,10.86,2.06
1729608308.4156175,10.91,2.08
1729608308.51631,10.92,2.01
1729608308.6297653,10.89,1.88
1729608308.7157867,10.82,1.72
1729608308.8159697,10.72,1.54
1729608308.914978,10.59,1.36
1729608309.0296493,10.46,1.2
1729608309.1152008,10.34,1.06
1729608309.2154152,10.26,0.95
1729608309.3154385,10.24,0.89
1729608309.4156039,10.29,0.91
1729608309.5072534,10.39,1.0
1729608309.6157067,10.54,1.18
1729608309.7160404,10.7,1.41
1729608309.8164287,10.87,1.65
1729608309.9233234,11.01,1.9
1729608310.0151463,11.12,2.1
1729608310.1152773,11.18,2.25
1729608310.2159529,11.18,2.32
1729608310.3190386,11.12,2.32
1729608310.4223104,11.01,2.25
1729608310.515877,10.85,2.08
1729608310.615952,10.68,1.81
1729608310.725395,10.51,1.47
1729608310.8200693,10.36,1.09
1729608310.9151862,10.26,0.71
1729608311.0152671,10.21,0.41
1729608311.1258404,10.24,0.25
1729608311.2238228,10.33,0.23
1729608311.3175592,10.47,0.36
1729608311.4157548,10.64,0.61
1729608311.519579,10.79,0.92
1729608311.6277156,10.93,1.23
1729608311.7167137,11.02,1.49
1729608311.8158524,11.07,1.66
1729608311.915666,11.06,1.73
1729608312.0263038,11.0,1.68
1729608312.114683,10.88,1.55
1729608312.2158556,10.74,1.36
1729608312.3156064,10.61,1.14
1729608312.430448,10.52,0.88
1729608312.5191627,10.48,0.64
1729608312.6296701,10.48,0.42
1729608312.7155771,10.52,0.25
1729608312.8149388,10.58,0.13
1729608312.9239902,10.66,0.05
1729608313.0156739,10.73,0.01
1729608313.1152704,10.79,0.0
1729608313.2154858,10.86,0.02
1729608313.3221076,10.95,0.05
1729608313.4165502,11.03,0.1
1729608313.5158172,11.11,0.14
1729608313.622238,11.15,0.14
1729608313.7223237,11.15,0.1
1729608313.8238328,11.07,0.05
1729608313.9150214,10.92,-0.03
1729608314.0157084,10.73,-0.17
1729608314.1161032,10.51,-0.34
1729608314.2191484,10.32,-0.51
1729608314.3153298,10.18,-0.67
1729608314.415901,10.11,-0.79
1729608314.5160763,10.11,-0.87
1729608314.6275318,10.17,-0.9
1729608314.723619,10.29,-0.89
1729608314.8156574,10.45,-0.86
1729608314.9153805,10.62,-0.83
1729608315.0158548,10.8,-0.8
1729608315.1241908,10.96,-0.78
1729608315.216634,11.1,-0.77
1729608315.3160732,11.18,-0.77
1729608315.4156306,11.19,-0.8
1729608315.5161796,11.13,-0.86
1729608315.615375,11.0,-0.97
1729608315.7154171,10.82,-1.1
1729608315.8162274,10.61,-1.24
1729608315.924122,10.42,-1.38
1729608316.0158205,10.26,-1.53
1729608316.1160438,10.16,-1.65
1729608316.2172315,10.13,-1.73
1729608316.3157651,10.18,-1.78
1729608316.4213493,10.29,-1.79
1729608316.5158525,10.46,-1.77
1729608316.6159396,10.64,-1.73
1729608316.7284327,10.82,-1.68
1729608316.8207562,10.98,-1.64
1729608316.9155304,11.09,-1.61
1729608317.0157065,11.16,-1.62
1729608317.1153312,11.18,-1.67
1729608317.2310743,11.15,-1.74
1729608317.3150654,11.07,-1.83
1729608317.4153574,10.96,-1.92
1729608317.516657,10.81,-2.02
1729608317.6244373,10.65,-2.14
1729608317.7190588,10.5,-2.29
1729608317.8154159,10.39,-2.48
1729608317.915907,10.32,-2.7
1729608318.0164745,10.31,-2.96
1729608318.1215084,10.34,-3.22
1729608318.2161603,10.43,-3.46
1729608318.315448,10.54,-3.66
1729608318.4154527,10.68,-3.8
1729608318.5272524,10.8,-3.89
1729608318.6164415,10.91,-3.94
1729608318.71563,10.98,-3.95
1729608318.8309934,11.02,-3.93
1729608318.9244132,11.03,-3.88
1729608319.0183153,11.0,-3.79
1729608319.1155457,10.94,-3.7
1729608319.215211,10.87,-3.6
1729608319.3272014,10.78,-3.54
1729608319.4209154,10.67,-3.55
1729608319.515791,10.57,-3.64
1729608319.6157224,10.47,-3.8
1729608319.7229106,10.39,-4.02
1729608319.825132,10.31,-4.29
1729608319.9163184,10.28,-4.57
1729608320.015387,10.3,-4.83
1729608320.1154623,10.36,-5.05
1729608320.2247865,10.46,-5.2
1729608320.317317,10.59,-5.26
1729608320.4158745,10.73,-5.26
1729608320.5160582,10.87,-5.21
1729608320.6246128,10.98,-5.14
1729608320.7206933,11.07,-5.07
1729608320.815442,11.11,-5.02
1729608320.9148283,11.1,-5.02
1729608321.0188599,11.05,-5.06
1729608321.1252067,10.97,-5.16
1729608321.2157247,10.88,-5.3
1729608321.315389,10.8,-5.45
1729608321.4156141,10.75,-5.61
1729608321.5249279,10.73,-5.73
1729608321.616177,10.73,-5.78
1729608321.7157888,10.77,-5.77
1729608321.8151536,10.83,-5.68
1729608321.922805,10.9,-5.55
1729608322.025091,10.96,-5.42
1729608322.117125,11.0,-5.32
1729608322.216013,11.01,-5.29
1729608322.3224277,10.99,-5.37
1729608322.4172204,10.95,-5.55
1729608322.5191853,10.89,-5.79
1729608322.6153817,10.83,-6.04
1729608322.7155786,10.77,-6.21
1729608322.8367307,10.7,-6.28
1729608322.916197,10.63,-6.22
1729608323.015409,10.55,-6.06
1729608323.116008,10.48,-5.81
1729608323.2282405,10.42,-5.52
1729608323.315221,10.38,-5.24
1729608323.4168012,10.38,-4.99
1729608323.516209,10.41,-4.8
1729608323.6158154,10.49,-4.69
1729608323.7193696,10.6,-4.66
1729608323.816618,10.71,-4.71
1729608323.9153755,10.82,-4.83
1729608324.0194032,10.9,-5.02
1729608324.1215775,10.95,-5.25
1729608324.2157562,10.96,-5.48
1729608324.315686,10.94,-5.69
1729608324.416645,10.9,-5.82
1729608324.5299451,10.85,-5.89
1729608324.6174335,10.8,-5.91
1729608324.7159529,10.74,-5.91
1729608324.8159227,10.69,-5.86
1729608324.918206,10.64,-5.76
1729608325.024146,10.6,-5.61
1729608325.1179698,10.56,-5.45
1729608325.2153716,10.56,-5.29
1729608325.3184378,10.58,-5.17
1729608325.419808,10.64,-5.11
1729608325.5160484,10.72,-5.12
1729608325.617923,10.81,-5.18
1729608325.7148652,10.88,-5.26
1729608325.8268793,10.92,-5.36
1729608325.9153535,10.93,-5.45
1729608326.0151696,10.92,-5.53
1729608326.115257,10.88,-5.58
1729608326.2223964,10.83,-5.6
1729608326.3273818,10.76,-5.59
1729608326.4154465,10.7,-5.56
1729608326.5157783,10.65,-5.51
1729608326.6153073,10.61,-5.45
1729608326.7209196,10.56,-5.4
1729608326.8157918,10.52,-5.36
1729608326.9153411,10.48,-5.32
1729608327.0154827,10.48,-5.3
1729608327.124051,10.51,-5.34
1729608327.2161596,10.61,-5.42
1729608327.315395,10.77,-5.49
1729608327.4152348,10.98,-5.53
1729608327.5261073,11.25,-5.5
1729608327.6164482,11.49,-5.45
1729608327.715465,11.72,-5.43
1729608327.8150716,11.88,-5.45
1729608327.916121,11.93,-5.49
1729608328.021885,11.85,-5.51
1729608328.115222,11.63,-5.5
1729608328.2155678,11.31,-5.48
1729608328.3165123,10.93,-5.45
1729608328.4217658,10.55,-5.42
1729608328.5233116,10.2,-5.41
1729608328.615257,9.93,-5.41
1729608328.7154322,9.77,-5.44
1729608328.824945,9.76,-5.46
1729608328.918901,9.9,-5.45
1729608329.0153413,10.18,-5.43
1729608329.1151588,10.54,-5.39
1729608329.2154791,10.93,-5.34
1729608329.3269227,11.28,-5.26
1729608329.416131,11.56,-5.17
1729608329.515349,11.74,-5.08
1729608329.6155581,11.81,-5.01
1729608329.7243273,11.76,-4.99
1729608329.815566,11.6,-5.03
1729608329.9160793,11.33,-5.12
1729608330.015296,11.02,-5.22
1729608330.1242287,10.71,-5.29
1729608330.2214093,10.44,-5.33
1729608330.3153982,10.23,-5.33
1729608330.4152315,10.1,-5.3
1729608330.530707,10.07,-5.24
1729608330.6247509,10.17,-5.15
1729608330.715513,10.36,-5.06
1729608330.819832,10.63,-4.94
1729608330.9159548,10.95,-4.81
1729608331.021405,11.25,-4.71
1729608331.1154113,11.49,-4.65
1729608331.2154016,11.65,-4.67
1729608331.3214564,11.69,-4.75
1729608331.4210558,11.61,-4.84
1729608331.5147216,11.42,-4.93
1729608331.615285,11.16,-5.0
1729608331.715546,10.88,-5.05
1729608331.820359,10.6,-5.07
1729608331.921853,10.37,-5.08
1729608332.0168312,10.2,-5.07
1729608332.1162584,10.09,-5.05
1729608332.2158344,10.06,-5.0
1729608332.3196309,10.1,-4.95
1729608332.4151864,10.21,-4.89
1729608332.5160465,10.38,-4.8
1729608332.6159637,10.58,-4.7
1729608332.7275853,10.8,-4.57
1729608332.814794,11.0,-4.44
1729608332.9153938,11.18,-4.34
1729608333.0152864,11.29,-4.26
1729608333.1286774,11.34,-4.22
1729608333.2223551,11.31,-4.21
1729608333.3151772,11.22,-4.21
1729608333.415231,11.08,-4.2
1729608333.5212178,10.89,-4.16
1729608333.6177855,10.69,-4.1
1729608333.716817,10.49,-4.02
1729608333.8153293,10.32,-3.92
1729608333.9164534,10.2,-3.82
1729608334.026356,10.14,-3.72
1729608334.1186907,10.14,-3.63
1729608334.2159016,10.2,-3.57
1729608334.315114,10.32,-3.53
1729608334.4224963,10.49,-3.49
1729608334.522212,10.69,-3.45
1729608334.615545,10.91,-3.41
1729608334.7152407,11.1,-3.36
1729608334.8164554,11.26,-3.32
1729608334.9176755,11.35,-3.27
1729608335.0150306,11.36,-3.22
1729608335.1155522,11.29,-3.15
1729608335.21634,11.17,-3.08
1729608335.316391,11.0,-3.02
1729608335.4149075,10.82,-2.96
1729608335.5151978,10.64,-2.92
1729608335.6164815,10.49,-2.88
1729608335.7289205,10.37,-2.81
1729608335.8206875,10.3,-2.72
1729608335.915245,10.3,-2.65
1729608336.0156806,10.36,-2.6
1729608336.1237824,10.45,-2.57
1729608336.217026,10.58,-2.56
1729608336.3146317,10.73,-2.55
1729608336.4153073,10.89,-2.52
1729608336.5155885,11.04,-2.44
1729608336.6238773,11.17,-2.3
1729608336.7219925,11.25,-2.12
1729608336.8225763,11.27,-1.92
1729608336.9151852,11.22,-1.71
1729608337.0212762,11.1,-1.52
1729608337.117605,10.94,-1.37
1729608337.2156234,10.75,-1.25
1729608337.3152092,10.56,-1.17
1729608337.4251742,10.38,-1.14
1729608337.5212889,10.25,-1.14
1729608337.6154869,10.17,-1.18
1729608337.7152996,10.16,-1.25
1729608337.820467,10.22,-1.3
1729608337.923844,10.33,-1.31
1729608338.015466,10.49,-1.25
1729608338.1149395,10.68,-1.12
1729608338.2157211,10.87,-0.95
1729608338.318718,11.03,-0.77
1729608338.416101,11.14,-0.58
1729608338.5175483,11.2,-0.41
1729608338.6158674,11.2,-0.26
1729608338.7216287,11.13,-0.14
1729608338.8146968,11.0,-0.07
1729608338.915265,10.84,-0.06
1729608339.015169,10.66,-0.05
1729608339.1197586,10.5,-0.01
1729608339.2263894,10.39,0.07
1729608339.3164485,10.36,0.17
1729608339.41478,10.43,0.23
1729608339.5151212,10.59,0.26
1729608339.627499,10.82,0.26
1729608339.7159102,11.1,0.27
1729608339.815499,11.39,0.3
1729608339.9154418,11.65,0.31
1729608340.019646,11.87,0.32
1729608340.1149693,12.0,0.32
1729608340.215406,12.04,0.35
1729608340.3149962,11.97,0.39
1729608340.4155362,11.8,0.44
1729608340.521457,11.51,0.49
1729608340.6156707,11.13,0.53
1729608340.7151716,10.72,0.57
1729608340.8152277,10.32,0.6
1729608340.9246488,9.99,0.64
1729608341.0180604,9.76,0.69
1729608341.1150968,9.64,0.75
1729608341.2165656,9.65,0.82
1729608341.3238895,9.78,0.89
1729608341.41721,9.99,0.96
1729608341.5151193,10.26,1.03
1729608341.6152785,10.55,1.11
