Timestamp,Pitch,Roll
1729608364.6188471,9.93,1.45
1729608364.7146993,9.91,1.44
1729608364.8153653,9.97,1.46
1729608364.9143674,10.12,1.52
1729608365.0175073,10.29,1.62
1729608365.118137,10.45,1.75
1729608365.2161555,10.54,1.86
1729608365.315261,10.58,1.93
1729608365.4156306,10.56,1.94
1729608365.5250866,10.53,1.89
1729608365.614992,10.45,1.8
1729608365.714499,10.33,1.72
1729608365.8218966,10.16,1.63
1729608365.9186163,10.01,1.52
1729608366.0148737,9.9,1.38
1729608366.1142871,9.85,1.21
1729608366.215072,9.88,1.07
1729608366.3216646,9.99,1.04
1729608366.4138796,10.16,1.16
1729608366.5149784,10.35,1.38
1729608366.6147022,10.54,1.62
1729608366.7186093,10.73,1.83
1729608366.821354,10.89,1.99
1729608366.9150205,11.01,2.1
1729608367.0145519,11.08,2.14
1729608367.1151168,11.09,2.09
1729608367.2220562,11.05,1.98
1729608367.3169792,10.97,1.85
1729608367.414353,10.85,1.68
1729608367.515595,10.71,1.48
1729608367.6214871,10.57,1.29
1729608367.713916,10.47,1.15
1729608367.814929,10.43,1.08
1729608367.9148028,10.45,1.07
1729608368.0278,10.51,1.12
1729608368.1215389,10.58,1.25
1729608368.2146547,10.64,1.42
1729608368.3148685,10.68,1.62
1729608368.4256556,10.71,1.77
1729608368.5162325,10.76,1.82
1729608368.6147864,10.82,1.79
1729608368.7147503,10.89,1.71
1729608368.8149557,10.94,1.66
1729608368.9206462,10.95,1.66
1729608369.0145764,10.93,1.69
1729608369.116261,10.9,1.72
1729608369.2146332,10.85,1.74
1729608369.3179827,10.79,1.74
1729608369.4190247,10.72,1.72
1729608369.5149343,10.63,1.64
1729608369.6153996,10.54,1.53
1729608369.7152092,10.46,1.4
1729608369.825084,10.41,1.27
1729608369.9164104,10.42,1.16
1729608370.0146847,10.48,1.1
1729608370.115894,10.57,1.1
1729608370.2157874,10.67,1.18
1729608370.3181648,10.76,1.32
1729608370.4158306,10.84,1.5
1729608370.514314,10.9,1.66
1729608370.618551,10.92,1.79
1729608370.7180617,10.91,1.86
1729608370.815221,10.89,1.88
1729608370.91473,10.85,1.87
1729608371.0246992,10.79,1.84
1729608371.1192486,10.73,1.79
1729608371.214417,10.67,1.73
1729608371.3145113,10.61,1.67
1729608371.4236314,10.55,1.62
1729608371.5227215,10.51,1.58
1729608371.6142771,10.48,1.56
1729608371.7147396,10.47,1.55
1729608371.8258383,10.48,1.55
1729608371.921562,10.53,1.57
1729608372.014455,10.59,1.62
1729608372.1152933,10.65,1.7
1729608372.2149816,10.72,1.81
1729608372.3261669,10.77,1.93
1729608372.420185,10.8,2.05
1729608372.5152617,10.82,2.17
1729608372.614535,10.82,2.31
1729608372.717423,10.81,2.49
1729608372.8255973,10.77,2.67
1729608372.9147344,10.71,2.84
1729608373.014169,10.65,2.97
