Timestamp,Pitch,Roll
1729617048.8388615,6.24,2.31
1729617048.9364178,6.12,2.16
1729617049.0363588,5.97,2.03
1729617049.14529,5.82,1.96
1729617049.236726,5.7,1.96
1729617049.3362846,5.65,2.02
1729617049.4365957,5.67,2.1
1729617049.5398784,5.75,2.2
1729617049.6431947,5.86,2.27
1729617049.7360053,6.0,2.33
1729617049.8358357,6.13,2.38
1729617049.9525306,6.24,2.42
1729617050.0440476,6.31,2.45
1729617050.137307,6.36,2.47
1729617050.2360728,6.36,2.46
1729617050.3386931,6.33,2.4
1729617050.4424748,6.25,2.3
1729617050.5368607,6.14,2.17
1729617050.6369605,6.03,2.04
1729617050.736346,5.92,1.93
1729617050.837634,5.85,1.9
1729617050.9403172,5.8,1.93
1729617051.036222,5.8,2.0
1729617051.136593,5.83,2.11
1729617051.2511487,5.89,2.22
1729617051.3367739,5.97,2.32
1729617051.4360118,6.04,2.42
1729617051.5364141,6.11,2.49
1729617051.650937,6.17,2.55
1729617051.7389653,6.21,2.59
1729617051.836261,6.23,2.59
1729617051.9364924,6.22,2.57
1729617052.0368054,6.19,2.51
1729617052.1487136,6.14,2.43
1729617052.243469,6.08,2.37
1729617052.3360412,6.04,2.34
1729617052.4365668,6.01,2.36
1729617052.541874,6.02,2.41
1729617052.64233,6.04,2.5
1729617052.7362719,6.07,2.63
1729617052.8372357,6.11,2.77
1729617052.9429185,6.13,2.93
1729617053.0441651,6.12,3.08
1729617053.1359396,6.1,3.19
1729617053.2365,6.06,3.26
1729617053.3371105,6.02,3.28
1729617053.4391408,5.98,3.27
1729617053.536448,5.95,3.23
1729617053.6359878,5.94,3.2
1729617053.7390084,5.96,3.19
1729617053.8427608,6.0,3.21
1729617053.9436927,6.06,3.26
1729617054.036253,6.12,3.32
1729617054.1364987,6.18,3.41
1729617054.2462523,6.2,3.52
1729617054.33617,6.19,3.64
1729617054.4363916,6.14,3.77
1729617054.5364099,6.05,3.9
1729617054.652714,5.94,4.02
1729617054.7415195,5.82,4.1
1729617054.836238,5.72,4.15
1729617054.9363625,5.65,4.15
1729617055.0376089,5.61,4.13
1729617055.1461356,5.63,4.1
1729617055.2364278,5.7,4.07
1729617055.3363445,5.83,4.07
1729617055.4362257,6.0,4.1
1729617055.5418305,6.19,4.16
1729617055.6454973,6.36,4.24
1729617055.736069,6.47,4.36
1729617055.8375444,6.51,4.5
1729617055.9360042,6.47,4.65
1729617056.0367758,6.36,4.79
1729617056.1362414,6.22,4.91
1729617056.2362623,6.05,4.99
1729617056.3359528,5.87,5.02
1729617056.447733,5.71,5.02
1729617056.5395892,5.6,5.0
1729617056.6360953,5.56,4.97
1729617056.7364738,5.59,4.93
1729617056.8366807,5.69,4.92
1729617056.943934,5.82,4.93
1729617057.0367124,5.98,4.98
1729617057.1366978,6.13,5.08
1729617057.2512856,6.26,5.22
1729617057.335864,6.34,5.4
1729617057.4362168,6.37,5.59
1729617057.536196,6.34,5.77
1729617057.637865,6.27,5.93
1729617057.748635,6.15,6.06
1729617057.841458,6.0,6.15
1729617057.9355733,5.85,6.2
1729617058.0378916,5.71,6.22
1729617058.1423552,5.62,6.22
1729617058.2443583,5.58,6.21
1729617058.3362083,5.61,6.21
1729617058.4363546,5.68,6.2
1729617058.550634,5.78,6.2
1729617058.6403117,5.89,6.21
1729617058.7364588,5.99,6.25
1729617058.8362715,6.06,6.31
1729617058.9430156,6.08,6.4
1729617059.0396194,6.07,6.5
1729617059.1367512,6.01,6.62
1729617059.236555,5.94,6.74
1729617059.33799,5.87,6.84
1729617059.445796,5.81,6.92
1729617059.542624,5.78,6.98
1729617059.6367636,5.78,7.01
1729617059.739596,5.81,7.02
1729617059.8459342,5.86,7.01
1729617059.9392548,5.91,6.99
1729617060.0362191,5.96,6.97
1729617060.1361353,5.99,6.96
1729617060.242538,6.0,6.98
1729617060.3352993,5.98,7.03
1729617060.4362526,5.96,7.11
1729617060.5375614,5.92,7.22
1729617060.6381893,5.88,7.36
1729617060.7494335,5.85,7.52
1729617060.8363297,5.83,7.68
1729617060.9365249,5.83,7.85
1729617061.036236,5.86,8.0
1729617061.1401117,5.9,8.14
1729617061.240067,5.95,8.24
1729617061.336462,6.01,8.32
1729617061.4366155,6.06,8.35
1729617061.5468776,6.11,8.35
1729617061.6359777,6.14,8.31
1729617061.7365694,6.16,8.24
1729617061.8362005,6.18,8.17
1729617061.936678,6.17,8.1
1729617062.0400107,6.14,8.05
1729617062.1430542,6.09,8.03
1729617062.2358518,6.03,8.05
1729617062.3361177,5.95,8.12
1729617062.449896,5.87,8.24
1729617062.5355842,5.81,8.39
1729617062.6374164,5.76,8.55
1729617062.736112,5.73,8.71
1729617062.8535697,5.73,8.86
1729617062.9439933,5.75,8.98
1729617063.037571,5.79,9.07
1729617063.1364746,5.84,9.14
1729617063.236184,5.91,9.18
1729617063.3418028,5.97,9.21
1729617063.4387276,6.04,9.22
1729617063.537084,6.1,9.21
1729617063.6362605,6.14,9.18
1729617063.7487345,6.17,9.13
1729617063.839839,6.18,9.05
1729617063.935891,6.17,8.95
1729617064.03621,6.14,8.84
1729617064.1364746,6.09,8.72
1729617064.241777,6.03,8.61
1729617064.3365521,5.96,8.52
1729617064.4356358,5.89,8.46
1729617064.5378084,5.81,8.45
1729617064.64428,5.75,8.48
1729617064.742742,5.69,8.55
1729617064.8359926,5.63,8.65
1729617064.9362233,5.6,8.78
1729617065.0484867,5.59,8.92
1729617065.1362338,5.62,9.08
1729617065.2368088,5.67,9.22
1729617065.3362434,5.76,9.34
1729617065.4489539,5.88,9.41
1729617065.5442822,5.99,9.42
1729617065.6390061,6.09,9.35
1729617065.7369034,6.15,9.22
1729617065.8415787,6.16,9.03
1729617065.9367726,6.11,8.82
1729617066.0358725,6.0,8.62
1729617066.1351168,5.86,8.48
1729617066.245077,5.69,8.41
1729617066.3487968,5.52,8.43
1729617066.4359736,5.38,8.53
1729617066.5363479,5.28,8.68
1729617066.6362338,5.24,8.85
1729617066.7491558,5.29,9.01
